English,Turkish
Chef,Aşçı
Engineer,Mühendis
Farmer,Çiftçi
Farmers,Çiftçiler
Hunter,Avcı
Mason,Duvarcı
Smith,Demirci
Survivalist,Hayatta Kalan
Tailor,Terzi
Axes,Baltalar
Dev Flood Tool,Su Ayar Aleti
Dev Tool,Yapımcı Aracı
Ecko The Dolphin,Yunus Ecko
Fishing Poles,Olta Kamışları
Hammer,Çekiç
Hoe,Çapa
Hoes,Çapalar
Hydrometer,Sıvıölçer
Meteor Shard,Göktaşı Parçası
Meteor Shards,Göktaşı Parçaları
Road Tool,Yol Aracı
Bookshelves,Kitaplıklar
Button,Tuş
Buttons,Tuşlar
Carved Pumpkin,Oyulmuş Balkabağı
Door,Kapı
Doors,Kapılar
Ecko Statue,Ecko Heykeli
Excavator,Kazı Makinesi
Lasers,Lazerler
Mills,Değirmenler
Powered Cart,Motorlu Yük Arabası
Small Wood Cart,Ufak Ahşap Vagon
Switch,Anahtar
Tables,Masalar
Transmission Pole,Vites Direği
Wood Cart,Ahşap Yük Arabası
{0} has returned to the game (Last online {1} ago).,{0} oyuna geri döndü (Son girişi {1} önce).
Vitamins,Vitaminler
Eat Food,Yemek Ye
Mouse-over the food in your toolbar to examine its nutrients.,"İmleci araç çubuğundaki yemeğe getirerek, besin değerlerini incele."
Eat food containing carbohydrates.,Karbonhidrat içeren yemekler ye.
Eat food containing protein.,Protein içeren yemekler ye.
Eat food containing fat.,Yağ içeren yemekler ye.
Eat food containing vitamins.,Vitamin içeren yemekler ye.
Authorized,Yetkili
{0} has left the game,{0} oyunu terk etti
Controls,Kontroller
Connecting...,Bağlanıyor...
Shift,Değiştir
Impact in:,Çarpmaya:
Text,Metin
Auth,Yetki
Enter text,Mesaj yaz
Public,Herkese Açık
stuff,hırdavat
Settings inherited from deed,Belgeden alınan ayarlar
Chop a tree until it falls over.,Herhangi bir ağacı kes.
Pick up the pieces with 'E'.,Odun parçalarını 'E' tuşu ile al.
Open the Map.,Haritayı Aç.
You can see the marker in the world. Click the arrow to bring up options or remove it.,İşaret dünya üzerinde görülebilir. İmleci işaretin üzerine getirerek ayarları görebilir yahut işareti kaldırabilirsin.
Tools,Araçlar
You received,Elde ettin
Unauthorized\n,Yetkisiz\n
Username,Kullanıcı Adı
Authorized\n,Yetkili\n
password,şifre
Logging in...,Giriş Yapılıyor...
calorie consumption,kalori tüketimi
Decreases,Azalır
damage,hasar
Increases,Yükselir
repair cost,onarım bedeli
harvest yield,hasat verimi
{0} Recipe,{0} Tarifi
craft time,işleme süresi
You,Sen
carry weight,taşıma ağırlığı
calorie cost,kalori değeri
how close you can approach animals,hayvanlara ne kadar yaklaşabilirsin
Bucks,Dolar
Queued Projects,Sıradaki Projeler
Currency Exchange is disabled (room requirements not met?),Para Birimi Takası devre dışı (oda gereksinimleri karşılanmadığı için olabilir)
Selling,Satıyor
Buying,Satın Alıyor
Balances,Bakiyeler
Click to give player reputation.,Oyuncuya itibar vermek için tıkla.
payment,ödeme
value,değer
Variants,Seçenekler
Tier {0},Kademe {0}
{0} output,{0} çıkışı
Plots,Arsalar
Weight: {0}kg,Ağırlığı: {0}kg
This item can only be carried.,Bu eşya sadece taşınabilir.
Crafted At,Yapımı
Harvested from,Şuradan elde edildi
Buy it at,Fiyatından al
Sell it at,Fiyatından sat
Used in,Kullanım şekli
Requires {0},Gerekli: {0}
Ingredients,Malzemeler
Products,Ürünler
No benefits from skills,Becerilerden fayda yok
Ask an Expert To Craft It,İşlemek için bir Uzman ile görüş
{0} Project,{0} Projesi
Status,Durum
Recipes,Tarifler
Click to send a private message,Özel mesaj göndermek için tıkla
Welcome to Eco!,Eco'ya hoş geldin!
Welcome back to Eco!,Eco'ya yeniden hoş geldin!
World age: {0},Dünya yaşı: {0}
Click to view in the skill window,Yetenek penceresinde görmek için tıkla
Unlocks,Açılanlar
Benefits,Yararları
Top Users,En Çok Kullananlar
Skills,Yetenekler
Produces,Ürünler
and {0:count} more {1:items},ve {0:count} adet daha {1:items}
Eyes,Gözler
Torso,Gövde
Hips,Kalça
Limbs,Uzuvlar
Jaw,Çene
Hide from the animals!,Hayvanlardan saklan!
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.","Kapri pantolonları (ayrıca üç çeyrek pantalon, kapri, yüksek bel pantolon, kısa pantolon, pijama ve etek pantolon olarak da bilinir) şorttan daha uzun ama pantolon kadar uzun olmayan kıyafetlerdir."
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,"Kimseye uymayan aptal bir fötr şapka. Giyeceğim diyorsan, ileride utanırsın ona göre."
Cool piratey shirt that makes your biceps look bigger than they really are.,Kol kaslarını olduğundan nispeten daha büyük gösteren havalı bir korsan tişörtü.
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.","Basit, sıradan, günlük, yıpranmış, alelade, basmakalıp, kirli, tekdüze, standart, çulsuzların giydiği ayakkabılardan hallice bir pabuç."
The hair with a completely normal amount of flare.,"Tamamen normal görünümlü, gösterişli bir saç."
The haircut your mom always made you get before you realized you could make your own decisions.,"Kendi kararlarını alabildiğini farkedene kadar, annen senin saçlarını böyle keserdi."
Belt with a square buckle.,Kare kopçalı bir kemer.
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.","Ayaktan dize, dizden ayağa kadar uzanan bot, ya da işte baldır da olabilir. Ökçe kısmı bacağa uzanan kısma nazaran biraz daha dar."
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).","Sağlam dar kesim pantolon. Pantolon her iki bacağı da ayrı ayrı kaplayan, belden ayak bileklerine kadar uzanan bir kıyafettir (etekler ve elbiselerdeki gibi her iki bacağa doğru uzayan kıyafetlerden ziyade)."
Lighter pack that causes lower calorie consumption.,Daha az kalori tüketimine olanak sağlayan çakmak takımı.
Powdered acorn.,Tozlandırılmış Meşe Palamudu.
A trussed roast baked to perfection.,Kızartılıp mükemmel şekilde fırınlanmış bir paket.
A dense whole wheat unleavened bread.,Kalın bir kepekli mayasız ekmek.
A seemingly random assortment of wild plants that form a sort of salad.,Nispeten baştan savma şekilde dekore edilmiş yabani bitkiler kullanılarak yapılan salata gibi bir şey.
Smashed beans can work as a thickener or flavour enhancer.,Ezilmiş fasulye kıvam arttırıcı ya da lezzet verici olarak kullanılabilir.
Just because the name has 'bear' in it doesn't mean it actually contains bear.,"Sırf isminde 'ayı' geçiyor diye, içinde ayı eti kullanıldığı manasına gelmez yani."
A brilliantly colored bulb with an earthy sweetness.,"Dünyevi tatlılığa sahip, parlak renkli bir ampul."
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.",Haşlanmış sosisler ızgarada pişmişi kadar lezzetli olmayabilir ama hala tatları yerinde.
"A delicious, crispy crust hides the soft interior.","Lezzetli, çıtır çıtır dış katman, içerideki yumuşacık kısmı saklıyor."
A bread with a camas twist for a bit of flavor and fun.,Biraz lezzet ve eğlence için camaslı bir ekmek.
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.","Eşit derecede dağıtılıp fırınlanmış bitki; ortası yumuşak, etrafı pembeleşmiş."
Pulverized camas works as an excellent thickener or flavour enhancer.,"Ezilmiş soğan çiçeği, güzel bir yoğunlaştırıcı ve aroma artırıcı olarak kullanılabilir."
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.",Eşit olmayan alev pişirme için olağan olabilir ama açık alev yemeğe ayrı bir aroma katar.
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.","Öğütmenin yan ürünü olan embriyo, tahılın çoğalmasına yardımcı olan üreme bölgesidir."
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.",Pişirmek için en uygun sebze olmayabilir belki ama bu pancar şimdiye kadar çok iyi dayanmış.
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.","Tatlı patatese benzeyen lifli bir besin, kamp ateşinden dolayı biraz kararmış tabii orası ayrı."
At least it doesn't have any scales any more.,En azından artık pulu falan yok.
For creating fancy foams!,Havalı köpükler oluşturmak için!
A warmly colored kernel studded vegetable.,Çekirdekleriyle ara ara süslenmiş bir sebze.
These deep fried corn treats are both crispy and delicious.,"Bu kızartılmış mısır gevrekleri, çıtır çıtır ve lezzetli."
Dried and ground corn; it's like a courser flour.,Kurutulup yere serilmiş mısır; farklı bir un görünümü veriyor insana.
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.","Bir çekirdeğin besi dokusundan alınmış olan mısır unu, çeşitli sosların yoğunlaştırılmasında kullanılabilir."
Edible mushrooms that are quite tasty.,Oldukça lezzetli olan yemeklik mantarlar.
Just in case you want to eat red things without eating meat.,Et yemeden önce kırmızı bir şeyler yemek istersen.
Give me all the bacon and eggs you have.,Elindeki yumurtaların ve pastırmaların hepsini bana ver.
A complete meal replacement solution.,Tam bir yemeği karşılayacak bir besin.
A tasty treat made from corn tortillas and meat.,Mısır tortilla ve et ile hazırlanan bir ara öğün.
A prime cut of meat surrounded by pastry.,Etrafı hamurla sarılı parça et.
"A bitter, brightly colored shoot similar to asparagus.","Acı, kuşkonmaza benzere parlak renkli bir budak."
Without any leavening the flatbread isn't very puffy. But it's still tasty.,Bazlama mayasız yapılmış ama halen daha lezzetli.
Everything is better deep fried.,Kızartılınca her şey güzel olur.
Secret's in the sauce.,Sır sosun içinde.
"While tomatoes are fruits, you don't usually put them in fruit salads.",Aslında domatesler meyve sayılır ancak onları meyve salatasına koymazsın.
A bulbous fruit that used to top Saguaro cacti.,Saguaro kaktüslerinin üzerinde olan soğana benzer bir meyve.
A concentrated blast of huckleberry goodness.,Konsantre edilmiş yabanmersini kutsaması.
A fantastic combination of flaky crust and scrumptious berries.,Çıtır hamur ve lezzetli meyvelerin birleşimi.
Oil infused with flavor to enhance it.,Aromayı güçlendirmek için yağ eklenmiş.
Useful for a quick chilling.,Hızlı soğutma için kullanışlı.
A small circular biscuit with a sweet huckleberry filling.,"Ortasında yabanmersini dolgusu olan, ufak yuvarlak bir bisküvi."
For powdering high-fat liquids.,Yüksek yağlı sıvıların yoz haline getirilmesi için.
"Much like a huckleberry pie, but filled to the brim with succulent meat.",Yabanmersini turtasına benzer ancak daha lezzetli etle ağzına kadar doldurulmuş bir yemek.
A meaty stock made from the flesh of animals.,Çeşitli hayvanların etlerinden yapılmış bir et stoğu.
"Milk, although maybe not from an animal.","Her ne kadar hayvandan alınmama ihtimali de olsa, süt süttür."
A plant fat extracted for use in cooking.,Yemek pişirmede kullanılmak için çıkartılmış bir bitki yağı.
"Carefully butchered meat, ready to cook.","Dikkatli bir şekilde kesilmiş et, tam pişirmelik."
A succulent fruit coated in a rather terrifying array of spines.,"Oldukça ürkütücü dikenlere sahip, sulu bir meyve."
A perfectly marbled piece of meat.,Keskin hatlarla kesilmiş bir et parçası.
A fatty cut of meat that happens to be inexplicably tastier than other cuts.,"Diğer kesimlere nazaran daha lezzetli olan, oldukça yağlı bir et parçası."
A fatty cut of raw fish.,Çiğ balıktan alınmış yağlı bir parça.
Fresh raw meat from the hunt. It should probably be cooked before being consumed.,Avdan elde edilen çiğ et. Tüketilmeden önce pişirilmesi önerilir.
A trussed roast tied and ready to be cooked.,Paketlenip bağlanmış ve pişirilmeye hazır bir et parçası.
Ground meat stuffed into an intestine casing.,Bir bağırsak zarının içerisine doldurulmuş kıyma.
Chunks of extra meat.,Ekstra et parçaları.
A cut of perfectly seared steak.,Muhteşem şekilde dilimlenmiş kurutulmuş biftek.
Meat cooked in meat juices keeps the meat juicy.,Kendi suyunda pişmiş sulu sulu bir et.
Even sweet lovers don't eat sugar plain.,Tatlı tutkunları bile şekeri öylece yemez.
The sweetness of the fruits happens to work well with the salad.,Meyvelerin tatlılığı salata ile iyi bir uyum içerisinde.
Rendered animal fat useful for more than just cooking.,"Kuyruk yağı, yemekler dışında bir sürü alanda da kullanılabilir."
Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,Bilgi bunun meyve olmadığını bilmek; bilgelikse meyve salatasına koymamayı bilmektir.
"A thin, unleavened flatbread.","İnce, mayasız bir ekmek."
Any enzyme that can be used to bond proteins together.,Proteinleri birbirine bağlamak için kullanılabilecek bir enzim.
An eclectic arrangement of vegetables.,Çeşitli sebzelerin bir karışımı.
Who knew plants in plant broth could be so tasty?,Bitki çorbasındaki bitkilerin bu kadar lezzetli olabileceğini kim bilebilirdi?
A hearty stock full of assorted vegetables.,Çeşitli sebzelerle dolu doyurucu bir stok.
A common grain that is significantly more useful processed.,"İşlendiğinde çok daha yararlı olan, yaygın bulunan bir tahıl."
A thick stew made with a variety of vegetables.,Çeşitli sebzeler ile et birleşiminden oluşan bir yahni.
"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.","Solmuş Eğrelti Otları biraz üzgün gibi gözükselerde, besleyiciler en azından."
A fungus that acts as an amazing leavening agent.,Kabartıcı etkiye sahip bir maya.
A more advanced version of the normal combustion engine that produces a greater output.,"Daha yüksek oranda bir güç üreten, normal yanmalı motorun daha gelişmiş bir versiyonu."
Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,Yiyecek bulabilmek için yay ile birlikte kullan (veya kafalarında duran elmaları vurarak şaşırt onları).
A paved surface constructed with asphalt and concrete. It's durable and extremely efficient for any wheeled vehicle.,Asfalt ve beton ile kaplanmış bir zemin. Oldukça dayanıklı ve tekerlekli araçlar için ideal.
A vegetable or animal fat-based diesel fuel.,Bitki özlü yahut hayvan kaynaklı dizel yakıt olarak kullanılan yağ.
A dead bison,Ölü bir bufalo
Durable building material made from fired blocks and mortar.,Pişirilmiş bloklar ve harçtan oluşturulmuş dayanıklı inşaat malzemesi.
Created by taking pulped plants and extruding them similarly to synthetic fibers.,Posa halindeki bitkilerin sentetik liflere dönüştürülmesiyle oluşturulan birim.
"A black residue, consisting of carbon and any remaining ash.","Siyah renkli bir kalıntı, içeriğinde karbon ve kül bulunuyor."
A complex electrical component used in advanced electronics.,Gelişmiş elektronik cihazlarda kullanılan karmaşık elektrik parçaları.
A clam.,Bir midye.
A piece of rough cloth made by weaving fibers together.,Çeşitli liflerin bir araya getirilerek örülmesiyle oluşturulmuş sağlam yapılı kumaş.
An engine that generates power by combustion of fuel.,Yakıtın yanmasıyla güç üreten bir motor.
Unrefined ore with traces of copper.,Üzerinde bakır izleri olan işlenmemiş cevher.
A pipe for transporting liquids.,Sıvı iletimi için kullanılan bir boru.
Especially useful for industrial buildings.,Özellikle endüstri binaları için kullanışlı.
"Ecko, the dolphin god of Eco bugs. Handle with care and lightly sprinkle with water every so often to keep moist.",Eco böceklerinin yunus tanrısı Ecko. Dikkatli davran ve sık sık su serp ki nemli kalsın.
A motor.,Motor.
A dead elk.,Ölü bir geyik.
"A useful material for hardening, curing, and other various uses.","Sertleştirme, iyileştirme ve diğer farklı işlemler için kullanışlı olan bir materyal."
Plastic reinforced with glass fiber strands.,Cam elyaf tellerle güçlendirilmiş plastik.
"Coated with a layer of epoxy, this steel refuses to rust.",Tutkalla kaplanmış olan bu çelik resmen paslanmaya meydan okuyor.
A dead fox.,Ölü bir tilki.
"A transparent, solid material useful for more than just windows.","Yalnızca pencereler için kullanılmayan, transparan ancak oldukça sağlam bir materyal."
"A soft, furry pelt.","Yumuşak, tüylü bir post."
Refined petroleum useful for fueling machines and generators.,Yakıt cihazları ve jeneratörler için kullanışlı rafine edilmiş petrol.
A toothed machine part that interlocks with others.,Diğer parçalarla birbirine bağlanabilen dişli bir makine parçası.
A highly efficient conductor for delicate electronics.,Hassas elektronik cihazlar için yüksek verimli bir iletken.
Unrefined ore with traces of gold.,Üzerinde altın izleri olan işlenmemiş cevher.
A dead hare.,Ölü bir tavşan.
A log hewn and shaped to be a building material.,"İnşaat malzemesi olarak kullanılabilecek, yontulup şekil verilmiş bir odun."
Unrefined ore with traces of iron.,Üzerinde demir izleri olan işlenmemiş cevher.
Some creepy kelp.,Ürkütücü bir kaç yosun.
A thick hide.,Kalın bir post.
A stack of logs.,Odun yığını.
Can be fashioned into various usable equipment.,Çeşitli iş gören ekipmana dönüştürülebilir.
Used to create tough but rudimentary buildings.,İlkel ama oldukça dayanıklı bina inşa etmede kullanılır.
Unstable nuclear fuel.,Stabil olmayan nükleer yakıt.
It's paper.,Sadece bir kağıt işte.
A moving component that transfers force. Can also function as a valve occasionally.,Kuvvet transferi sağlayan hareketli bir materyal. Duruma göre vana olarak da kullanılabilir.
An extremely useful synthetic material derived from petrochemicals,Petrokimyasallardan elde edilen son derece kullanışlı sentetik materyal
A salmon.,Bir somon.
A rotary actuator that allows for control over angular position.,Açısal konum üzerinde kontrol hakkı veren döner bir sürücü.
A rocky surface formed from smoothed rubble. It's fairly durable and efficient for any wheeled vehicle.,Düzleştirilmiş çakıllardan oluşmuş taşlı bir yüzey. Tekerlekli herhangi bir araç için oldukça dayanıklı.
CHEEEAAAAATER,HİLEECİİİİİİİ
The foundation material for complex electronics.,Karmaşık elektronik oluşumlar için temel madde.
