English,Japanese
Hide from the animals!,動物から隠れて!
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.",カプリパンツ(3/4パンツ、カプリ、作物パンツ、ペダルプッシャー、クラムデジグル、フラッドパンツ、ジャム、高水分、キュロット、トゥルードパンツとも呼ばれます) は、ショートパンツより長く、ズボンほど長くはないパンツです。
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,誰にも似合わない役立たずの帽子。それ被るの恥ずかしくないの？
Cool piratey shirt that makes your biceps look bigger than they really are.,あなたの上腕二頭筋が実際よりも大きく見えるようにする、かっこいい海賊シャツ。
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.",基本的、普通、日常、非現実的、従来の、普遍的な、平凡な、標準的な、ミドル・オブ・ザ・ロード、ガーデン・タイプのロートップ・シューズ。
The hair with a completely normal amount of flare.,完全に通常な量のフレアを有する髪。
The haircut your mom always made you get before you realized you could make your own decisions.,あなたのお母さんが、あなたが自分の意思決定をすることができたことに気づく前に、あなたのお母さんがいつもあなたにしたヘアカット
Belt with a square buckle.,四角いバックル付きベルト。
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.",ニーハイブーツは、膝またはその下に少し浮かぶブーツです。 彼らは一般的に、脚のシャフトと足首の周りが上部よりも堅いです。
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).",丈夫なスリムフィットのペアのパンツ。 ズボンというのは、腰から足首まで隠し、両脚を別々に覆う衣類です(ローブ、スカート、ドレスのように両脚を横切る形の布ではありません).
Lighter pack that causes lower calorie consumption.,カロリー消費を抑える軽量バックパック。
Powdered acorn.,粉状のドングリ
A trussed roast baked to perfection.,完璧に焼き上げられた縛られたロースト。
A dense whole wheat unleavened bread.,密度の高い全粒粉の種なしパン。
A seemingly random assortment of wild plants that form a sort of salad.,一見ランダムな野草の詰め合わせで、一種のサラダを形成している。
Smashed beans can work as a thickener or flavour enhancer.,潰した豆は、とろみ付けや風味付けとして使える。
Just because the name has 'bear' in it doesn't mean it actually contains bear.,名前に「bear」が入っているからといって実際にbearが入っているわけではありません。
A brilliantly colored bulb with an earthy sweetness.,素朴な甘さを備えた鮮やかな色の球根。
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.",茹でたソーセージは焼いたソーセージほど美味しくないかもしれませんが、そこそこイケます。
"A delicious, crispy crust hides the soft interior.",おいしくカリカリに焼いた皮は、柔らかいインテリアを隠しています。
A bread with a camas twist for a bit of flavor and fun.,ちょっとした風味と楽しみのためにカマシアを2倍にしたパン。
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.",均等に焼いたカマシアの球根。 真ん中は柔らかく、外側は金茶色です。
Pulverized camas works as an excellent thickener or flavour enhancer.,まんべんなく焼かれたカマシアの球根が敷き詰められ、中は柔らかく、外はこんがりと焼けている。
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.",不均一な炎は調理としては平凡かもしれないが、直火は素晴らしい風味を与える。
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.",製粉の副産物である胚芽は、発芽する穀物の生殖部分である。
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.",おそらく焦がすには最高の生野菜ではないが、このビートは十分に持ちこたえたようだ。
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.",キャンプファイヤーの熱でわずかに黒くなっていますが、スイートポテトのようにとても甘いです
At least it doesn't have any scales any more.,少なくとも、もうウロコはない。
For creating fancy foams!,ファンシーな泡を作成します!
A warmly colored kernel studded vegetable.,温かみのある色の穀粒がちりばめられた野菜。
These deep fried corn treats are both crispy and delicious.,この揚げたトウモロコシのお菓子は、サクサクでおいしい。
Dried and ground corn; it's like a courser flour.,乾燥トウモロコシ; それは粗い粉のようなものです。
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.",穀粒の胚乳から得られるコーンスターチは、ソースの増粘剤として使用できる。
Edible mushrooms that are quite tasty.,かなりおいしい食用キノコです。
Just in case you want to eat red things without eating meat.,肉を食べずに赤いものを食べたい場合に備えて。
Give me all the bacon and eggs you have.,ベーコンエッグを全部ちょうだい。
A complete meal replacement solution.,完全な食事代替解決法
A tasty treat made from corn tortillas and meat.,トウモロコシのトルティーヤと肉から作られたおいしいおやつ。
A prime cut of meat surrounded by pastry.,お菓子に囲まれた最高級肉のカット
"A bitter, brightly colored shoot similar to asparagus.",アスパラガスに似た苦味のある鮮やかな色の新芽。
Without any leavening the flatbread isn't very puffy. But it's still tasty.,あまり発酵していないので、この平たいパンはあまりふくらんでいません。 でも案外イケます。
Everything is better deep fried.,良いフライは何物にも勝る
Secret's in the sauce.,シークレットはソースにあり
"While tomatoes are fruits, you don't usually put them in fruit salads.",トマトは果物ですが、普通はフルーツサラダに入れません。
A bulbous fruit that used to top Saguaro cacti.,サグアロサボテンの頂点に存在する球根のフルーツ。
A concentrated blast of huckleberry goodness.,ハックルベリーの爆発的な優しさ
A fantastic combination of flaky crust and scrumptious berries.,固いフレークと素晴らしいベリーの素晴らしい組み合わせ。
Oil infused with flavor to enhance it.,オイルは効果を高めるために味をエンチャントした。
Useful for a quick chilling.,素早く冷やすのに便利です。
A small circular biscuit with a sweet huckleberry filling.,甘いハックルベリーの入った小さな円形のクッキー。
For powdering high-fat liquids.,高脂肪液体のパウダー
"Much like a huckleberry pie, but filled to the brim with succulent meat.",ハックルベリーパイのようだが、ジューシーな肉でいっぱいだ。
A meaty stock made from the flesh of animals.,新鮮な動物の肉を煮込んで作ったスープストック
"Milk, although maybe not from an animal.",ミルク、おそらく動物由来ではありません。
A plant fat extracted for use in cooking.,調理用に抽出された植物油脂。
"Carefully butchered meat, ready to cook.",丁寧に屠殺された肉は、すぐに調理できる。
A succulent fruit coated in a rather terrifying array of spines.,恐ろしいトゲに囲まれた甘酸っぱい果実。
A perfectly marbled piece of meat.,完璧な霜降り肉の一部
A fatty cut of meat that happens to be inexplicably tastier than other cuts.,脂身が多い肉は、他の肉よりもどうしようもなく美味しい。
A fatty cut of raw fish.,脂ののった生魚の切り身。
Fresh raw meat from the hunt. It should probably be cooked before being consumed.,狩猟で得た新鮮な生肉。調理してから食べるべきだろう。
A trussed roast tied and ready to be cooked.,ローストは縛られ、調理準備の整ったロースト。
Ground meat stuffed into an intestine casing.,挽肉を腸詰めにしたもの。
Chunks of extra meat.,余った肉の欠片
A cut of perfectly seared steak.,完璧に焼けたステーキのカット。
Meat cooked in meat juices keeps the meat juicy.,肉のジュースでジューシーに焼いた肉。
Even sweet lovers don't eat sugar plain.,例え甘い物が大好きな恋人でさえ、そのままの砂糖は食べないよね。
The sweetness of the fruits happens to work well with the salad.,果物の甘さはサラダとよく合います。
Rendered animal fat useful for more than just cooking.,動物性脂肪は料理に役立つだけではありません。
Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,フルーツということになっていますが、フルーツサラダには使わないほうが賢明です。
"A thin, unleavened flatbread.",薄く味のしないの平らなパン。
Any enzyme that can be used to bond proteins together.,タンパク質同士を結合させるために使用できる酵素。
An eclectic arrangement of vegetables.,野菜のいいとこ取り
Who knew plants in plant broth could be so tasty?,植物の中の植物がとても美味しいと初めて知ったのって誰？
A hearty stock full of assorted vegetables.,たくさんの野菜を煮込んで作ったスープストック
A common grain that is significantly more useful processed.,非常に役に立つみんなの穀物がより効果的に処理されました。
A thick stew made with a variety of vegetables.,いろんな野菜で作られた濃厚なシチュー。
"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.",色あせたシダの山が少し悲しく見えるかもしれませんが、少なくとも栄養価はあります。
A fungus that acts as an amazing leavening agent.,すばらしい発酵剤として利用される菌類。
