Context,English,French
,Hoes,Binettes
,Hydrometer,Hydromètre
,Meteor Shard,Éclat de météore
,Meteor Shards,Éclats de météore
,Road Tool,Outil routier
,Bookshelves,Bibliothèques
,Button,Bouton
,Buttons,Boutons
,Carved Pumpkin,Citrouille sculptée
,Door,Porte
,Doors,Portes
,Ecko Statue,Statue d'Ecko
,Excavator,Pelleteuse
,Lasers,
,Mills,Meules
,Powered Cart,Chariot motorisé
,Small Wood Cart,Petit chariot en bois
,Switch,Interrupteur
,Tables,
,Transmission Pole,Poteau électrique
,Wood Cart,Chariot en bois
,{0} has returned to the game (Last online {1} ago).,{0} est de retour en jeu (dernière connexion il y a {1}).
,Vitamins,Vitamines
,Eat Food,Mangez de la nourriture
,Mouse-over the food in your toolbar to examine its nutrients.,Passez la souris sur la nourriture dans votre barre d'outils pour examiner la valeur des nutriments.
,Eat food containing carbohydrates.,Mangez des aliments contenant des glucides.
,Eat food containing protein.,Mangez des aliments contenant des protéines.
,Eat food containing fat.,Mangez des aliments contenant de la graisse.
,Eat food containing vitamins.,Mangez des aliments contenant des vitamines.
,Authorized,Autorisé
,{0} has left the game,{0} a quitté la partie
,Controls,Commandes
,Connecting...,Connexion en cours...
,Shift,Maj
,Impact in:,Impact dans :
,Text,Texte
,Auth,
,Enter text,Tapez votre texte
,Public,
,stuff,équipement
,Settings inherited from deed,Paramètres hérités du titre de propriété
,Chop a tree until it falls over.,Couper un arbre jusqu'à ce qu’il tombe.
,Pick up the pieces with 'E'.,"Ramasser les morceaux avec ""E""."
,Open the Map.,Ouvrir la carte.
,You can see the marker in the world. Click the arrow to bring up options or remove it.,Vous pouvez voir le marqueur dans le monde. Cliquez sur la flèche pour en faire apparaître les options ou les supprimer.
,Tools,Outils
,You received,Vous avez reçu
,Unauthorized\n,Non autorisé\n
,Username,Identifiant
,Authorized\n,Autorisé\n
Parameter for chat command /setpassword,password,mot de passe
,Logging in...,Connexion en cours...
,calorie consumption,consommation de calories
,Decreases,Diminue
,damage,dégât
,Increases,Augmente
,repair cost,coût de réparation
,harvest yield,rendement de la récolte
,{0} Recipe,Recette {0}
,craft time,temps de fabrication
,You,Vous
,carry weight,charge portée
,calorie cost,coût en calories
,how close you can approach animals,à quelle distance vous pouvez approcher les animaux
,Bucks,Balles
,Queued Projects,Projets en attente
,Currency Exchange is disabled (room requirements not met?),Le bureau de change est désactivé (pré-requis de la pièce non respecté ?)
,Selling,Vendre
,Buying,Acheter
,Balances,Soldes
,Click to give player reputation.,Cliquez pour donner de la réputation au joueur.
,payment,paiement
Parameter for multiple chat commands,value,
,Variants,Variantes
,Tier {0},Niveau {0}
,{0} output,sortie de {0}
,Plots,Parcelles
,Weight: {0}kg,Poids : {0} kg
,This item can only be carried.,Cet objet peut seulement être porté.
,Crafted At,Se fabrique sur
,Harvested from,Récolté de
,Buy it at,Achetez-le dans
,Sell it at,Vendez-le dans
,Used in,Utiliser pour fabriquer
,Requires {0},Nécessite {0}
,Ingredients,Ingrédients
,Products,Produits
,No benefits from skills,Aucun avantage de compétences
,Ask an Expert To Craft It,Demander la fabrication à un Expert
,{0} Project,Projet {0}
,Status,Statut
,Recipes,Recettes
,Click to send a private message,Cliquez pour envoyer un message privé
,Welcome to Eco!,Bienvenue sur Eco !
,Welcome back to Eco!,Bon retour sur Eco !
,World age: {0},Âge du monde : {0}
,Click to view in the skill window,Cliquez pour voir dans la fenêtre des compétences
,Unlocks,Déverrouille
,Benefits,Avantages
,Top Users,Meilleurs utilisateurs
,Skills,Compétences
,Produces,Fabrique
,and {0:count} more {1:items},et {0:count} {1:items} de plus
,Eyes,Yeux
,Torso,Torse
,Hips,Hanches
,Limbs,Membres
,Jaw,Mâchoire
,Hide from the animals!,Cachez-vous des animaux !
,"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.","Les bermudas (aussi appelés pantalons trois-quarts, bermuda, pantalons coupé, pédales, hauts-de-chausses, culottes ou pantalons toréador) sont des pantalons plus longs que les shorts mais moins longs que les pantalons."
,Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,Un étrange sombrero qui ne convient à personne. Vous vous sentez gêné de le porter.
,Cool piratey shirt that makes your biceps look bigger than they really are.,Une superbe chemise de pirate qui fait paraître vos biceps plus grands qu'ils ne le sont en réalité.
,"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.","Basique, ordinaire, intemporel, courant, indescriptible, conventionnel, banal, ordinaire, standard, grand public, chaussures basses de jardin.\n"
,The hair with a completely normal amount of flare.,Les cheveux avec une quantité normale de reflet.
,The haircut your mom always made you get before you realized you could make your own decisions.,La coupe de cheveux que ta mère t'a toujours faite avant que tu réalises que tu pouvais prendre les décisions toi-même.
,Belt with a square buckle.,Ceinture avec une boucle carrée.
,"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.","Les bottes hautes sont des bottes qui montent jusqu'au genou, ou légèrement en dessous. Elles sont généralement plus serrées au niveau du tibia et de la cheville qu'en haut."
,"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).","Pantalon robuste et ajusté. Le pantalon est un vêtement qui se porte de la taille aux chevilles, couvrant les deux jambes séparément (plutôt qu'avec un tissu s'étendant sur les deux jambes comme dans les robes, les jupes et les robes)."
,Lighter pack that causes lower calorie consumption.,Pack plus léger qui permet de consommer moins de calories.
,Powdered acorn.,Gland en poudre.
,A trussed roast baked to perfection.,Un rôti ficelé cuit au four à la perfection.
,A dense whole wheat unleavened bread.,Une bonne miche de pain au blé complet.
,A seemingly random assortment of wild plants that form a sort of salad.,Un assortiment apparemment aléatoire de plantes sauvages qui forment une sorte de salade.
,Smashed beans can work as a thickener or flavour enhancer.,Les haricots écrasés peuvent servir d'épaississant ou exhausteur de goût.
,Just because the name has 'bear' in it doesn't mean it actually contains bear.,"Juste parce que le nom a ""ours"" dedans ne signifie pas qu'il contienne réellement de l'ours."
,A brilliantly colored bulb with an earthy sweetness.,Un bulbe aux couleurs éclatantes avec une douceur terreuse.
,"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.","Les saucisses bouillies ne sont peut-être pas aussi belles que celles grillées, mais elles sont toujours savoureuses."
,"A delicious, crispy crust hides the soft interior.",Une croûte croustillante et délicieuse cache l'intérieur moelleux.
,A bread with a camas twist for a bit of flavor and fun. ,Un pain avec une pointe de camassia pour un peu de saveur et de plaisir.
,"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.","Une fournée de bulbes de camassia uniformément cuits au four ; moelleux au milieu, doré à l'extérieur."
,Pulverized camas works as an excellent thickener or flavour enhancer.,Saupoudrer du camassia fonctionne comme un excellent épaississant ou comme exhausteur de goût.
,"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.","La flamme inégale peut être médiocre pour la cuisson, mais un feu à foyer ouvert donne une grande saveur."
,"A by-product of milling, the germ is the reproductive part of the cereal that germinates.",Un sous-produit de la mouture. Le germe est la partie reproductrice de la céréale qui germe.
,"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.","Peut-être pas le meilleur légume cru à griller, cette betterave semble avoir assez bien tenu."
,"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.","Une friandise fibreuse et sucrée qui est cuisinée comme une patate douce, bien que légèrement noircie par la chaleur d'un feu de camp."
,At least it doesn't have any scales any more.,"Au moins, il n'a plus d'écailles."
,For creating fancy foams!,Pour créer des mousses fantaisistes !
,A warmly colored kernel studded vegetable.,Un légume clouté de noyau chaudement coloré.
,These deep fried corn treats are both crispy and delicious.,Ces friandises au maïs frit sont à la fois croustillantes et délicieuses.
,Dried and ground corn; it's like a courser flour.,Un maïs séché et moulu ; c'est comme une farine grossière.
,"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.","Obtenue à partir de l'endosperme de la graine, la fécule de maïs peut être utilisée comme agent épaississant pour les sauces."
,Edible mushrooms that are quite tasty.,Champignons comestibles qui sont assez savoureux.
,Just in case you want to eat red things without eating meat.,Juste au cas où vous voulez manger des choses rouges sans manger de la viande.
,Give me all the bacon and eggs you have.,Donnez-moi tout le bacon et les œufs que vous avez.
,A complete meal replacement solution.,Une solution de remplacement pour un repas complet.
,A tasty treat made from corn tortillas and meat.,Une savoureuse friandise fabriquée à partir de tortillas de maïs et de viande.
,A prime cut of meat surrounded by pastry.,Un morceau de viande de premier choix entouré de pâte.
,"A bitter, brightly colored shoot similar to asparagus.",Une pousse amère et de couleur vive semblable à l'asperge.
,Without any leavening the flatbread isn't very puffy. But it's still tasty.,"Sans levain, le pain plat n'est pas très gonflé. Il n'en reste pas moins savoureux."
,Everything is better deep fried.,Tout est meilleur frit.
,Secret's in the sauce.,Le secret est dans la sauce.
,"While tomatoes are fruits, you don't usually put them in fruit salads.","Alors que les tomates sont des fruits, vous ne les mettez pas habituellement dans une salade de fruits."
,A bulbous fruit that used to top Saguaro cacti.,Un fruit bulbeux qui était placé au sommet des cactus Saguaro.
,A concentrated blast of huckleberry goodness.,Un concentré de bienfait des myrtilles.
,A fantastic combination of flaky crust and scrumptious berries.,Une combinaison fantastique de croûte feuilletée et de délicieuses baies.
,Oil infused with flavor to enhance it.,Huile infusée de saveur pour l'améliorer.
,Useful for a quick chilling.,Utile pour un refroidissement rapide.
,A small circular biscuit with a sweet huckleberry filling.,Un petit biscuit circulaire avec une garniture sucrée à la myrtille.
,For powdering high-fat liquids.,Pour lyophiliser des liquides riches en graisses.
,"Much like a huckleberry pie, but filled to the brim with succulent meat.","Un peu comme une tarte aux myrtilles, mais garnie de viande succulente."
,A meaty stock made from the flesh of animals.,Un fond de viande fabriqué à partir de la chair animale.
,"Milk, although maybe not from an animal.","Lait, qui n'est peut-être pas d'origine animale."
,A plant fat extracted for use in cooking.,Une graisse végétale extraite pour une utilisation en cuisine.
,"Carefully butchered meat, ready to cook.","Une viande soigneusement découpée, prête à cuire."
,A succulent fruit coated in a rather terrifying array of spines.,Un fruit succulent recouvert d'un assez grand nombre d'épines plutôt terrifiantes.
,A perfectly marbled piece of meat.,Un morceau de viande parfaitement persillée.
,A fatty cut of meat that happens to be inexplicably tastier than other cuts.,Un morceau gras de viande qui s'avère inexplicablement plus savoureuse qu'un autre morceau.
,A fatty cut of raw fish.,Un morceau de graisse de poisson cru.
,Fresh raw meat from the hunt. It should probably be cooked before being consumed.,Viande crue fraîche provenant de la chasse. Elle devrait probablement être cuite avant d'être consommée.
,A trussed roast tied and ready to be cooked.,Un rôti ficelé et prêt à être cuisiné.
,Ground meat stuffed into an intestine casing.,Viande hachée farcie dans un boyau.
,Chunks of extra meat.,Des morceaux de viande supplémentaire.
,A cut of perfectly seared steak.,Un morceau de steak parfaitement saisi.
,Meat cooked in meat juices keeps the meat juicy.,Une viande cuite dans son jus de viande garde la viande juteuse.
,Even sweet lovers don't eat sugar plain.,Même les amoureux ne mangent pas de sucre nature.
,The sweetness of the fruits happens to work well with the salad.,La douceur des fruits se marie bien avec la salade.
,Rendered animal fat useful for more than just cooking.,La graisse animale est utile pour bien plus que la cuisine.
,Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,"L'intelligence est de savoir que c'est un fruit, la sagesse est de ne pas le mettre dans une salade de fruits."
,"A thin, unleavened flatbread.",Un pain plat mince et sans levain.
,Any enzyme that can be used to bond proteins together.,N'importe quelle enzyme pouvant être utilisée pour lier les protéines ensemble.
,An eclectic arrangement of vegetables.,Un arrangement éclectique de légumes.
,Who knew plants in plant broth could be so tasty?,Qui aurait cru que des plantes dans du bouillon de plantes aurait été si savoureux ?
,A hearty stock full of assorted vegetables.,Un bouillon plein de légumes assortis.
,A common grain that is significantly more useful processed.,Un grain commun qui est nettement plus utile raffiné.
,A thick stew made with a variety of vegetables.,Un ragoût épais fait de légumes variés.
,"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.","Bien qu'un tas de fougère fanées puisse sembler un peu triste, au moins, elles sont nutritives."
,A fungus that acts as an amazing leavening agent.,Un champignon qui agit comme un agent levant incroyable.
,A more advanced version of the normal combustion engine that produces a greater output.,Une version plus évoluée du moteur à combustion normale qui produit une plus grande puissance.
,Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,Utilisez-les avec l'arc pour chasser de la nourriture (ou étonnez vos amis en tirant sur des pommes situées sur leur tête).
,A paved surface constructed with asphalt and concrete. It's durable and extremely efficient for any wheeled vehicle.,Une surface pavée construite avec du bitume et du béton. Il est durable et extrêmement efficace pour tous les véhicules à roues.
,A vegetable or animal fat-based diesel fuel.,Un carburant diesel à base de végétal ou de graisse animale.
,A dead bison,Un bison mort
,Durable building material made from fired blocks and mortar.,Un matériau de construction durable fabriqué à partir de blocs de bric et de mortier.
,Created by taking pulped plants and extruding them similarly to synthetic fibers.,Créé en utilisant la pulpe des plantes pour en extraire de manière similaire les fibres synthétiques.
,"A black residue, consisting of carbon and any remaining ash.","Un résidu noir, composé de carbone et de toutes les cendres restantes."
,A complex electrical component used in advanced electronics.,Un composant électrique complexe utilisé dans l'électronique avancée.
,A clam.,Une palourde.
