English,Polish
Dev Flood Tool,Developerskie Urządzenie Odtapiające DUO
Dev Tool,Narzędzie deweloperskie
Ecko The Dolphin,Delfin Ecko
Fishing Poles,Wędki
Hammer,Młotek
Hoe,Motyka
Hoes,Motyki
Hydrometer,Areometr
Meteor Shard,Fragment meteorytu
Meteor Shards,Fragmenty meteorytu
Road Tool,Narzędzie drogowe
Bookshelves,Półki na książki
Button,Guzik
Buttons,Guziki
Carved Pumpkin,Wydrążona dynia
Door,Drzwi
Doors,Drzwi
Ecko Statue,Statua Ecko
Excavator,Koparka
Lasers,Lasery
Mills,Młyny
Powered Cart,Wózek z Napędem
Small Wood Cart,Mały drewniany wózek
Switch,Przełącznik
Tables,Stoły
Transmission Pole,Słup elektryczny
Wood Cart,Drewniany wózek
{0} has returned to the game (Last online {1} ago).,{0} powrócił do gry (Ostatnio online {1} temu).
Vitamins,Witaminy
Eat Food,Zjedz pożywienie
Mouse-over the food in your toolbar to examine its nutrients.,Najedź kursorem na jedzenie na Pasku Narzędzi aby zobaczyć jego wartości odżywcze.
Eat food containing carbohydrates.,Zjedz produkty zawierające węglowodany.
Eat food containing protein.,Zjedz produkty zawierające białka.
Eat food containing fat.,Zjedz produkty zawierające tłuszcze.
Eat food containing vitamins.,Zjedz produkty zawierające witaminy.
Authorized,Autoryzowany
{0} has left the game,{0} opuścił grę
Controls,Sterowanie
Connecting...,Łączenie...
Shift,
Impact in:,Uderzenie za:
Text,Tekst
Auth,Dostęp
Enter text,Wprowadź tekst
Public,Publiczne
stuff,rzeczy
Settings inherited from deed,Ustawienia odziedziczone z aktu własności
Chop a tree until it falls over.,"Rąb drzewo, aż się przewróci."
Pick up the pieces with 'E'.,Podnieś za pomocą 'E'.
Open the Map.,Otwórz mapę.
You can see the marker in the world. Click the arrow to bring up options or remove it.,"Teraz widzisz znacznik na mapie, Kliknij strzałkę aby wybrać opcję lub go usunąć."
Tools,Narzędzia
You received,Zebrano:
Unauthorized\n,Nieautoryzowany\n
Username,Nazwa użytkownika
Authorized\n,Autoryzowany\n
password,hasło
Logging in...,Logowanie...
calorie consumption,spożycie kalorii
Decreases,Zmniejsza
damage,obrażenia
Increases,Zwiększa
repair cost,koszt naprawy
harvest yield,zbierz plony
{0} Recipe,{0} Przepis
craft time,czas wytworzenia
You,Ty
carry weight,udźwig
calorie cost,koszt kaloryczny
how close you can approach animals,jak blisko możesz podejść do zwierząt
Bucks,Samce renifera
Queued Projects,Projekty skolejkowane
Currency Exchange is disabled (room requirements not met?),Wymiana walut jest zablokowana (pokój nie spełnia wymagań?)
Selling,Sprzedawanie
Buying,Kupowanie
Balances,Salda
Click to give player reputation.,"Kliknij, aby przyznać reputację innemu graczowi."
payment,płatność
value,wartość
Variants,Warianty
Tier {0},Poziom {0}
{0} output,{0} wyjście
Plots,Działki
Weight: {0}kg,Waga: {0}kg
This item can only be carried.,Ten przedmiot może być tylko niesiony.
Crafted At,Wykonane w
Harvested from,Zbierane od
Buy it at,Kup w
Sell it at,Sprzedaj w
Used in,Użyte w
Requires {0},Potrzeba {0}
Ingredients,Składniki
Products,Produkty
No benefits from skills,Żadnych korzyści z umiejętności
Ask an Expert To Craft It,"Zapytaj eksperta, aby to wytworzyć"
{0} Project,{0} Projekt
Status,
Recipes,Przepisy
Click to send a private message,"Naciśnij, aby wysłać wiadomość prywatną"
Welcome to Eco!,Witaj w Eco!
Welcome back to Eco!,Witaj z powrotem w Eco!
World age: {0},Wiek świata: {0}
Click to view in the skill window,"Kliknij, aby wyświetlić w oknie umiejętności"
Unlocks,Odblokowuje
Benefits,Korzyści
Top Users,Najaktywniejsi
Skills,Umiejętności
Produces,Produkuje
and {0:count} more {1:items},i jeszcze {0:count} {1:items} więcej
Eyes,Oczy
Torso,Tułów
Hips,Biodra
Limbs,Kończyny
Jaw,Szczęka
Hide from the animals!,Schowaj się przed zwierzętami!
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.","Spodnie Capri (także znane jako bermudy) są dłuższe niż spodenki, ale nie tak dłógie jak spodnie."
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,"Głupi sombrero, który nikomu nie pasuje. Czujesz się skrępowany, aby go nosić."
Cool piratey shirt that makes your biceps look bigger than they really are.,"Fajna piracka koszulka, która sprawia że Twoje bicepsy stają się większe niż są w rzeczywistości."
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.","Podstawowe, zwykłe, codzienne, zwyczajne, nijakie, klasyczne, pospolite, monotonne, standardowe, przeciętne, normalne, buty w stylu low-top."
The hair with a completely normal amount of flare.,Włosy bez przesadnego połysku.
The haircut your mom always made you get before you realized you could make your own decisions.,"Fryzura jaką mama zawsze Ci robiła zanim uświadomiłeś/aś sobie, że możesz podejmować własne decyzje."
Belt with a square buckle.,Pasek z kwadratową klamrą.
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.",Buty kolanowe są buty które dochodzą mniej więcej aż do kolan. Ogólnie są one węższe dookoła nogi i stopy niż u góry.
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).","Wytrzymała para rurek. Spodnie są elementem ubioru noszonym od pasa do kostek, zasłaniając oddzielnie obydwie nogi (a nie jakąś szmatką pałetającą się miedzy nogami jak szaty, spódniczki czy suknie)."
Lighter pack that causes lower calorie consumption.,"Lżejsza paczka, która powoduje obniżenie zużycia kalorii."
Powdered acorn.,Sproszkowany żołądź.
A trussed roast baked to perfection.,Obwiązana pieczeń perfekcyjnie zapieczona.
A dense whole wheat unleavened bread.,"Gęsty, niekwaszony, pełnoziarnisty chleb."
A seemingly random assortment of wild plants that form a sort of salad.,"Pozornie losowy dobór dziko rosnących roślin, tworzących formę sałatki."
Smashed beans can work as a thickener or flavour enhancer.,Przetartą fasole można użyć jako zagęszczacz albo wzmacniacz smaku.
Just because the name has 'bear' in it doesn't mean it actually contains bear.,"Tylko dlatego, że w nazwie jest wyraz ""niedźwiedź"" to wcale nie znaczy, że naprawde zawiera niedźwiedzia."
A brilliantly colored bulb with an earthy sweetness.,Kolorowo błyszcząca bulwa z ziemnianą słodkością.
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.","Gotowane kiełbasy może nie są tak ładne jak grillowane, ale są one równie smaczne."
"A delicious, crispy crust hides the soft interior.",Pyszna chrupiąca skorupka skrywa ukryte delikatne wnętrze.
A bread with a camas twist for a bit of flavor and fun.,Chleb z domieszką kamasji dla odrobiny posmaku i szczypty przyjemności.
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.",Krem z równomiernie upieczonych bulw kamasji; delikatnych w środku i rumianych z zewnątrz.
Pulverized camas works as an excellent thickener or flavour enhancer.,Sproszkowana kamasja sprawdza się świetnie jako zagęszczacz lub wzmacniacz smaku.
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.","Nierównomierny płomień może nie ułatwia gotowania, ale otwarty ogień nadaje wspaniały smak."
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.","Jako produkt uboczny przemiału, kiełek jest reprodukcyjną częścią zboża, która kiełkuje."
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.","Być może nie jest to najlepsze warzywo do opiekania nad ogniem, tym niemniej wygląda na to, że ten burak całkiem nieźle sobie poradził."
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.","Włóknisty i słodki smakołyk coś jak bataty, lecz troszkę przyciemnione ogniem ogniska."
At least it doesn't have any scales any more.,Przynajmniej nie ma już więcej żadnych łusek.
For creating fancy foams!,Używany do produkcji fantastycznej piany!
A warmly colored kernel studded vegetable.,Warzywo obłożone ziarnami o ciepłym kolorze.
These deep fried corn treats are both crispy and delicious.,Te głęboko smażone przysmaki kukurydziane są jednocześnie chrupiące i pyszne.
Dried and ground corn; it's like a courser flour.,Wyszuszona i zmielona kukurydza; podobna do mąki grysikowej.
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.","Skrobia kukurydziana, uzyskana z bielma nasiona, może być użyta do zagęszczania sosów."
Edible mushrooms that are quite tasty.,"Jadalne grzyby, które są całkiem smaczne."
Just in case you want to eat red things without eating meat.,"Tak na wypadek, gdyby przyszła ci ochota na czerwone, bezmięsne rzeczy. Nie ma nic wspólnego z pewnym mścicielem."
Give me all the bacon and eggs you have.,"Daj mi cały bekon i jajka, które masz."
A complete meal replacement solution.,Kompletne rozwiązanie zamiany posiłku.
A tasty treat made from corn tortillas and meat.,Pyszny smakołyk wykonany z kukurydzianych tortilli i mięsa.
A prime cut of meat surrounded by pastry.,Wyborny kawałek mięsa obłożony pieczywem.
"A bitter, brightly colored shoot similar to asparagus.","Trochę większy i jaśniejszy pęd, podobny do szparaga."
Without any leavening the flatbread isn't very puffy. But it's still tasty.,Przez brak zakwasu podpłomyki nie są szczególnie wyrośnięte. Mimo to są smaczne.
Everything is better deep fried.,Wszystko głęboko smażone jest lepsze.
Secret's in the sauce.,Sekret zawarty w sosie.
"While tomatoes are fruits, you don't usually put them in fruit salads.","Chociaż pomidory są owocami, nie dodajesz ich zazwyczaj do sałatki owocowej."
A bulbous fruit that used to top Saguaro cacti.,"Bulwiasty owoc, prosto z czubka kaktusa Saguaro."
A concentrated blast of huckleberry goodness.,Skoncentrowane uderzenie jagodowych dobroci.
A fantastic combination of flaky crust and scrumptious berries.,Fantastyczne połączenie puszystego kruchego ciasta i przepysznych jagód.
Oil infused with flavor to enhance it.,Olej smakowy z uatrakcyjniającymi dodatkami.
Useful for a quick chilling.,Przydatne do szybkiego chłodzenia.
A small circular biscuit with a sweet huckleberry filling.,Małe okrągłe ciasteczko z jagodowym nadzieniem.
For powdering high-fat liquids.,Do proszkowania płynów wysoko tłuszczowych.
"Much like a huckleberry pie, but filled to the brim with succulent meat.","Coś jak ciasto jagodowe, ale zamiast jagów wypełnione po brzegi soczystym mięskiem."
A meaty stock made from the flesh of animals.,Aromatyczny rosół z mięs zwierzęcych. Podstawa niedzielnego obiadu.
"Milk, although maybe not from an animal.","Mleko, chociaż może nie od zwierzęcia."
A plant fat extracted for use in cooking.,Tłuszcz roślinny wykorzystywany w kuchni.
"Carefully butchered meat, ready to cook.","Dokładnie pokrojone mięso, gotowe do smażenia."
A succulent fruit coated in a rather terrifying array of spines.,Soczysty owoc pokryty raczej przerażającym zestawem kolców.
A perfectly marbled piece of meat.,Perfekcyjnie glazurowany kawałek mięsa.
A fatty cut of meat that happens to be inexplicably tastier than other cuts.,Tłusty kawałek miesą jest nieoczekiwanie smaczniejszy niż inne kawałki.
A fatty cut of raw fish.,Tłusty kawałek surowej ryby.
Fresh raw meat from the hunt. It should probably be cooked before being consumed.,"Świeże, surowe mięso z polowania. Powinno zostać usmażone przed zjedzeniem."
A trussed roast tied and ready to be cooked.,Obwiązana pieczeń gotowa do przyrządzenia.
Ground meat stuffed into an intestine casing.,Jelita nadziewane mielonym mięsem.
Chunks of extra meat.,Kawał dodatkowego mięsa.
A cut of perfectly seared steak.,Kawałek perfekcyjnie usmażonego mięsa.
Meat cooked in meat juices keeps the meat juicy.,Mięso gotowane w sosie własnym czyni je soczystym.
Even sweet lovers don't eat sugar plain.,Nawet miłośnicy słodkości nie jedzą cukru samego.
The sweetness of the fruits happens to work well with the salad.,Słodycz owoców świetnie sprawdza się w sałatce.
Rendered animal fat useful for more than just cooking.,"Przetopiony tłuszcz zwierzęcy, użyteczny nie tylko w kuchni."
Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,"Inteligencją jest wiedzieć, że jest owocem; mądrością ‒ że nie dodaje się go do sałatki owocowej."
"A thin, unleavened flatbread.","Cienki, niekwaszony podpłomyk."
Any enzyme that can be used to bond proteins together.,"Dowolny enzym, który nadaje się do wiązania białek."
An eclectic arrangement of vegetables.,Mieszanka różnorodnych warzyw.
Who knew plants in plant broth could be so tasty?,"Kto by przypuszczał, że warzywa w rosole warzywnym mogą być takie smaczne?"
A hearty stock full of assorted vegetables.,Sycący bulion pełen różnorodnych warzyw.
A common grain that is significantly more useful processed.,"Zwykłe ziarno, które jest znacznie bardziej użyteczne, kiedy przetworzone."
A thick stew made with a variety of vegetables.,Gęsty wielowarzywny gulasz.
"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.",Coprawda garść blanszowanych pędów paproci nie wygląda zachęcająco to przynajmniej jest całkiem pożywna.
A fungus that acts as an amazing leavening agent.,Grzyb sprawdzający się wspaniale jako spulchniacz.
A more advanced version of the normal combustion engine that produces a greater output.,Bardziej zaawansowana wersja zwykłego silnika spalinowego cechująca się większą mocą.
Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,"Użyj łuku, żeby polować na zwierzynę (albo wzbudź podziw przyjaciół, zestrzeliwując im jabłka z głów)."
A paved surface constructed with asphalt and concrete. It's durable and extremely efficient for any wheeled vehicle.,Utwardzona powierzchnia utworzona przy użyciu asfaltu i cementu. Jest bardzo wytrzymała i bardzo wydajana dla transportu.
A vegetable or animal fat-based diesel fuel.,Paliwo diesla stworzone z tłuszczu zwierzęcego lub roślinnego.
A dead bison,Martwy bizon
Durable building material made from fired blocks and mortar.,Trwały materiał budowlany stworzony z wypalonych bloków i zaprawy.
Created by taking pulped plants and extruding them similarly to synthetic fibers.,Stworzony przez zebranie zmiażdzonych roślin i wytłaczanie ich podobnie do włókien syntetycznych.
"A black residue, consisting of carbon and any remaining ash.","Czarne substancja, składające się z węgla i resztek popiołu."
A complex electrical component used in advanced electronics.,Skomplikowany składnik elektryczny używany w zaawansowanej elektronice.
A clam.,Małża.
A piece of rough cloth made by weaving fibers together.,Kawałek szorstkiego materiału utkany z włókien.
An engine that generates power by combustion of fuel.,"Silnik, który produkuje moc poprzez spalania paliwa."
Unrefined ore with traces of copper.,Nieprzetopiona ruda z drobinkami miedzi.
A pipe for transporting liquids.,Rura do transportu płynów.
Especially useful for industrial buildings.,Szczególnie przydatne do budynków przemysłowych.
"Ecko, the dolphin god of Eco bugs. Handle with care and lightly sprinkle with water every so often to keep moist.","Ecko, delfinie bóstwo wszystki bugów w Eco. Obchodź się z troską i lekko zraszaj wodą by pozostał wilgotny."
A motor.,Silnik.
A dead elk.,Martwy łoś.
"A useful material for hardening, curing, and other various uses.","Przydatny materiał do hartowania, utwardzania i wielu różnych zastosowań."
Plastic reinforced with glass fiber strands.,Wzmocniony plastik z nitkami włókna szklanego.
"Coated with a layer of epoxy, this steel refuses to rust.",Pokryta warstwą żywicy ta stal nigdy nie zardzewieje.
A dead fox.,Martwy lis.
"A transparent, solid material useful for more than just windows.","Przezroczysty, solidny materiał stosowany nie tylko w oknach."
"A soft, furry pelt.",Mięciutkie futro.
Refined petroleum useful for fueling machines and generators.,Rafinowana ropa naftowa stosowana do napędzania maszyn i generatorów.
A toothed machine part that interlocks with others.,Uzębiona część maszyny splatająca się z innymi.
A highly efficient conductor for delicate electronics.,Bardzo dobry przewodnik do wykorzystania w precyzyjnej elektronice.
Unrefined ore with traces of gold.,Nieprzetopiona ruda z drobinkami złota.
A dead hare.,Martwy zając.
A log hewn and shaped to be a building material.,Kłoda ociosana i ukształtowana aby nadawała się na materiał budowlany.
Unrefined ore with traces of iron.,Nieprzetopiona ruda z drobinkami żelaza.
Some creepy kelp.,Jakieś obślizgłe wodorosty.
A thick hide.,Gruba skóra.
A stack of logs.,Stos kłód.
Can be fashioned into various usable equipment.,Można go kształtować w różne przydatne urządzenia.
Used to create tough but rudimentary buildings.,"Używane do tworzenia twardych, ale prymitywnych budynków."
Unstable nuclear fuel.,Niestabilne paliwo jądrowe.
It's paper.,To papier.
A moving component that transfers force. Can also function as a valve occasionally.,"Ruchomy element, który przenosi siłę. Może również czasami działać jako zawór."
An extremely useful synthetic material derived from petrochemicals,Niezwykle przydatny materiał syntetyczny pochodzący z produktów petrochemicznych
A salmon.,Łosoś.
A rotary actuator that allows for control over angular position.,Siłownik obrotowy umożliwiający kontrolę położenia kątowego.
A rocky surface formed from smoothed rubble. It's fairly durable and efficient for any wheeled vehicle.,Brukowana nawierzchnia zrobiona z kamieni. Jest w miarę wytrzymała i wydajna dla transportu.
CHEEEAAAAATER,CZIIIITEEEER
The foundation material for complex electronics.,Materiał bazowy złożonej elektroniki.
A little bit of light to help beat back the night.,Odrobina swiatła przydatna do walki z ciemnością.
