English,BrazilianPortuguese
Mouse-over the food in your toolbar to examine its nutrients.,Passe o mouse sobre o alimento em sua barra de ferramentas para examinar seus nutrientes.
Eat food containing carbohydrates.,Coma um alimento que contenha carboidrato.
Eat food containing protein.,Coma um alimento que contenha proteína.
Eat food containing fat.,Coma um alimento que contenha gordura.
Eat food containing vitamins.,Coma um alimento que contenha vitamina.
Authorized,Autorizado
{0} has left the game,{0} saiu do jogo.
Controls,Controles
Connecting...,Conectando...
Shift,
Impact in:,Impacto em:
Text,Texto
Auth,Autorizar
Enter text,Digite o texto
Public,Público
stuff,coisas
Settings inherited from deed,Configurações herdadas da escritura
Chop a tree until it falls over.,Corte uma árvore até que ela caia.
Pick up the pieces with 'E'.,Pegue os pedaços pressionando a tecla 'E'.
Open the Map.,Abra o Mapa.
You can see the marker in the world. Click the arrow to bring up options or remove it.,Você pode ver o marcador no mundo. Clique na seta para abrir as opções ou removê-lo.
Tools,Ferramentas
You received,Você recebeu
Unauthorized\n,Não autorizado\n
Username,Nome de usuário
Authorized\n,Autorizado\n
password,senha
Logging in...,Entrando...
calorie consumption,consumo de calorias
Decreases,Diminui
damage,dano
Increases,Aumenta
repair cost,custo de reparo
harvest yield,rendimento de colheita
{0} Recipe,Receita de ''{0}''
craft time,tempo de fabricação
You,Você
carry weight,carregar peso
calorie cost,custo de calorias
how close you can approach animals,quão próximo você pode se aproximar de animais
Bucks,Dólares
Queued Projects,Projetos na fila
Currency Exchange is disabled (room requirements not met?),A Troca de Moeda está desabilitada (os requisitos de sala não foram atendidos?)
Selling,Vendendo
Buying,Comprando
Balances,Saldos
Click to give player reputation.,Clique para dar pontos de reputação ao jogador
payment,pagamento
value,
Variants,Variantes
Tier {0},Nível {0}
{0} output,saída {0}
Plots,Lotes
Weight: {0}kg,Peso: {0}kg
This item can only be carried.,Este item só pode ser carregado.
Crafted At,Fabricado em
Harvested from,Colhido de
Buy it at,Pode ser comprado em
Sell it at,Pode ser vendido em
Used in,Usado em
Requires {0},Requer {0}.
Ingredients,Ingredientes
Products,Produtos
No benefits from skills,Sem benefícios de habilidades
Ask an Expert To Craft It,Peça a um especialista para fabricar isto
{0} Project,Projeto de ''{0}''
Status,
Recipes,Receitas
Click to send a private message,Clique para enviar uma mensagem privada
Welcome to Eco!,Boas-vindas ao Eco!
Welcome back to Eco!,Bem-vindo(a) de volta ao Eco!
World age: {0},Idade do mundo: {0}
Click to view in the skill window,Clique para ver no menu de habilidades
Unlocks,Desbloqueia
Benefits,Benefícios
Top Users,Melhores usuários
Skills,Habilidades
Produces,Produz
and {0:count} more {1:items},e mais {0:count} {1:items}
Eyes,Olhos
Torso,Tronco
Hips,Quadris
Limbs,Membros
Jaw,Mandíbula
Hide from the animals!,Esconda-se dos animais!
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.","Calça capri (também conhecidas como calça de três quartos, calças cortadas, jams, e muitos outros) são calças mais compridas do que shorts, mas não tanto quanto as calças convencionais."
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,Um chapéu estúpido que não cabe em ninguém. Você se sente envergonhado ao usá-lo.
Cool piratey shirt that makes your biceps look bigger than they really are.,Uma camiseta legal de pirata que faz seus bíceps parecerem maiores do que realmente são.
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.","Sapatos baixos básicos, ordinários, para todos os dias, corriqueiros, indefinidos, convencionais, comuns, monótonos, padrão, intermediários, de cano baixo do tipo de jardim."
The hair with a completely normal amount of flare.,O cabelo com uma quantidade de brilho completamente normal.
The haircut your mom always made you get before you realized you could make your own decisions.,O corte de cabelo que sua mãe sempre pedia até você perceber que poderia fazer escolhas próprias.
Belt with a square buckle.,Um cinto com uma fivela quadrada.
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.","As botas de cano alto costumam chegar até os joelhos, ou um pouco abaixo. Elas são geralmente mais apertadas em torno do eixo da perna e tornozelo do que na parte superior."
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).","Um par de calças justas e resistentes. As calças são uma peça de roupa usada da cintura até os tornozelos, cobrindo ambas as pernas separadamente (em vez de um tecido que se estende por ambas as pernas, como em túnicas, saias e vestidos)."
Lighter pack that causes lower calorie consumption.,Uma mochila mais leve que causa menor consumo de calorias.
Powdered acorn.,Bolota em pó.
A trussed roast baked to perfection.,Uma copa amarrada e assada com perfeição.
A dense whole wheat unleavened bread.,Um pão sem fermento feito com trigo integral denso.
A seemingly random assortment of wild plants that form a sort of salad.,Uma aparente mistura aleatória de plantas selvagens que formam um tipo de salada.
Smashed beans can work as a thickener or flavour enhancer.,"Feijões amassados, podem servir como um espessante ou realçador de sabor."
Just because the name has 'bear' in it doesn't mean it actually contains bear.,Só porque tem 'urso' no nome não significa que realmente tenha um urso.
A brilliantly colored bulb with an earthy sweetness.,Um bulbo brilhantemente colorido com a doçura da terra.
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.","Linguiças cozidas podem não ser tão bonitas como as grelhadas, mas ainda são saborosas."
"A delicious, crispy crust hides the soft interior.",Uma deliciosa crosta crocante esconde o interior macio.
A bread with a camas twist for a bit of flavor and fun.,Um pão com camassia para dar um pouco de sabor e diversão.
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.","Uma variedade de bulbos de camassia uniformemente assados; macio no meio, marrom dourado por fora."
Pulverized camas works as an excellent thickener or flavour enhancer.,"Camassias pulverizadas, funcionam como um excelente espessante ou intensificador de sabor."
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.","A chama irregular pode ser horrível para cozinhar, mas a chama aberta dá um ótimo sabor."
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.","Um subproduto da moagem, o gérmen é a parte reprodutiva do cereal que germina."
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.","Talvez a beterraba não seja o melhor vegetal cru para tostar, ela parece ter resistido muito bem."
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.","Um deleite fibroso e doce muito parecido com uma batata-doce, embora ligeiramente escurecido com o calor de uma fogueira."
At least it doesn't have any scales any more.,Pelo menos não tem mais escamas.
For creating fancy foams!,Para fabricar espumas elegantes!
A warmly colored kernel studded vegetable.,Um vegetal com núcleo de coloração quente.
These deep fried corn treats are both crispy and delicious.,Essas guloseimas de milho frito são crocantes e deliciosas.
Dried and ground corn; it's like a courser flour.,Milho seco e moído; é como uma farinha de trigo.
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.","Obtido da endosperma do grão, o amido de milho pode ser usado como agente espessante para molhos."
Edible mushrooms that are quite tasty.,Cogumelos comestíveis que são muito gostosos.
Just in case you want to eat red things without eating meat.,Em caso de você querer comer coisas vermelhas sem precisar comer carne.
Give me all the bacon and eggs you have.,Me de todo o bacon e os ovos que você tiver.
A complete meal replacement solution.,Uma solução completa para substituição de uma refeição.
A tasty treat made from corn tortillas and meat.,Um deleite saboroso feito de tortilhas de milho e carne.
A prime cut of meat surrounded by pastry.,Um corte de carne nobre rodeado de massa.
"A bitter, brightly colored shoot similar to asparagus.","Um broto amargo, de cores vivas, semelhante aos espargos."
Without any leavening the flatbread isn't very puffy. But it's still tasty.,"Sem fermento, o pão achatado não fica muito macio, mas ainda sim, é saboroso."
Everything is better deep fried.,Tudo é melhor quando bem frito.
Secret's in the sauce.,O segredo está no molho.
"While tomatoes are fruits, you don't usually put them in fruit salads.","Embora os tomates sejam frutas, você geralmente não os coloca em saladas de frutas."
A bulbous fruit that used to top Saguaro cacti.,Um fruto bulboso que costuma cobrir os cactos saguaro.
A concentrated blast of huckleberry goodness.,Uma explosão concentrada de benevolência de mirtilos.
A fantastic combination of flaky crust and scrumptious berries.,Uma fantástica combinação de crosta crocante e deliciosos mirtilos.
Oil infused with flavor to enhance it.,Óleo com infusão de sabor para realçá-lo.
Useful for a quick chilling.,Útil para um resfriamento rápido.
A small circular biscuit with a sweet huckleberry filling.,Um pequeno biscoito arredondado com um recheio de mirtilo doce.
For powdering high-fat liquids.,Para pulverizar líquidos com alto teor de gordura.
"Much like a huckleberry pie, but filled to the brim with succulent meat.","Muito parecida com uma torta de mirtilo, mas recheada até a borda com carne suculenta."
A meaty stock made from the flesh of animals.,Um caldo feito de carne de animais.
"Milk, although maybe not from an animal.","Leite, provavelmente não de um animal."
A plant fat extracted for use in cooking.,Uma gordura vegetal extraída para uso na cozinha.
"Carefully butchered meat, ready to cook.","Uma carne cuidadosamente cortada, pronta para cozinhar."
A succulent fruit coated in a rather terrifying array of spines.,Uma fruta suculenta revestida de terríveis espinhos.
A perfectly marbled piece of meat.,Um pedaço de carne perfeitamente marmorizado.
A fatty cut of meat that happens to be inexplicably tastier than other cuts.,Um corte gordo de carne que parece inexplicavelmente mais saboroso do que outros cortes.
A fatty cut of raw fish.,Um pedaço gordo de peixe cru.
Fresh raw meat from the hunt. It should probably be cooked before being consumed.,"Carne crua, fresca, recém-caçada. Provavelmente é melhor cozinha-la antes de come-la."
A trussed roast tied and ready to be cooked.,Uma copa amarrada e pronta para ser cozida.
Ground meat stuffed into an intestine casing.,Carne moída recheada em uma tripa.
Chunks of extra meat.,Pedaços de carne extra.
A cut of perfectly seared steak.,Um corte de bife perfeitamente grelhado.
Meat cooked in meat juices keeps the meat juicy.,A carne cozida em sucos de carne mantém ela suculenta.
Even sweet lovers don't eat sugar plain.,Até os amantes de doces não comem açúcar puro.
The sweetness of the fruits happens to work well with the salad.,A doçura das frutas parecem cair bem com a salada.
Rendered animal fat useful for more than just cooking.,A gordura animal processada é útil para mais do que apenas cozinhar.
Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,Inteligência é saber que isto é uma fruta; sabedoria é não colocá-lo em uma salada de frutas.
"A thin, unleavened flatbread.",Um pão fino sem fermento.
Any enzyme that can be used to bond proteins together.,Qualquer enzima que possa ser usada para unir proteínas.
An eclectic arrangement of vegetables.,Um arranjo eclético de vegetais.
Who knew plants in plant broth could be so tasty?,Quem diria que caldo de plantas poderia ser tão saboroso?
A hearty stock full of assorted vegetables.,Um caldo saudável cheio de vegetais variados.
A common grain that is significantly more useful processed.,Um grão comum que é significativamente mais útil processado.
A thick stew made with a variety of vegetables.,Um ensopado grosso feito com uma variedade de vegetais.
"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.","Enquanto esse monte de brotos de samambaia murchas podem parecer um pouco triste, eles são nutritivos."
A fungus that acts as an amazing leavening agent.,Um fungo que age como um incrível agente de fermentação.
A more advanced version of the normal combustion engine that produces a greater output.,Uma versão mais avançada do motor de combustão normal que produz uma maior potência.
Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,Use com o arco para caçar comida (ou surpreenda seus amigos atirando maçãs fora de suas cabeças).
A paved surface constructed with asphalt and concrete. It's durable and extremely efficient for any wheeled vehicle.,Uma superfície pavimentada construída com asfalto e concreto. É durável e extremamente eficiente para qualquer veículo com rodas.
A vegetable or animal fat-based diesel fuel.,Um combustível diesel feito a partir da gordura vegetal ou animal.
A dead bison,Um bisão morto.
Durable building material made from fired blocks and mortar.,Material de construção durável feito de blocos queimados e argamassa.
Created by taking pulped plants and extruding them similarly to synthetic fibers.,Criado tomando as plantas despolpadas e extrudindo-as de forma semelhante às fibras sintéticas.
"A black residue, consisting of carbon and any remaining ash.","Um resíduo escuro, feito de carvão e restos de cinzas."
A complex electrical component used in advanced electronics.,Um componente elétrico complexo usado em eletrônicos avançados.
A clam.,Uma amêijoa.
A piece of rough cloth made by weaving fibers together.,Um pedaço de tecido áspero feito de fibras entrelaçadas.
An engine that generates power by combustion of fuel.,Um motor que gera energia pela queima de combustível.
Unrefined ore with traces of copper.,Minério não refinado com traços de cobre.
A pipe for transporting liquids.,Um tubo para transporte de líquidos.
Especially useful for industrial buildings.,Especialmente útil para edifícios industriais.
"Ecko, the dolphin god of Eco bugs. Handle with care and lightly sprinkle with water every so often to keep moist.","Ecko, o deus golfinho dos insetos de Eco. Manuseie-o com cuidado e o regue levemente com água de vez em quando para mantê-lo úmido."
A motor.,Um motor.
A dead elk.,Um alce morto.
"A useful material for hardening, curing, and other various uses.","Um material útil para endurecimento, cura e outros usos diversos."
Plastic reinforced with glass fiber strands.,Plástico reforçado com fios de fibra de vidro.
"Coated with a layer of epoxy, this steel refuses to rust.","Revestido com uma camada de epóxi, este aço se recusa a enferrujar."
A dead fox.,Uma raposa morta.
"A transparent, solid material useful for more than just windows.","Um material sólido e transparente, útil para mais do que apenas janelas."
"A soft, furry pelt.","Uma pele macia, peluda."
Refined petroleum useful for fueling machines and generators.,"Petróleo refinado, útil para abastecer máquinas e geradores."
A toothed machine part that interlocks with others.,Uma peça dentada de máquina que se encaixa com as outras.
A highly efficient conductor for delicate electronics.,Um condutor altamente eficiente para eletrônicos delicados.
Unrefined ore with traces of gold.,Minério não refinado com traços de ouro.
A dead hare.,Uma lebre morta.
A log hewn and shaped to be a building material.,Uma madeira cortada e moldada para ser um material de construção.
Unrefined ore with traces of iron.,Minério não refinado com traços de ferro.
