English,Arabic
Hoes,المعول
Hydrometer,مقياس الكثافة
Meteor Shard,شظية النيزك
Meteor Shards,شظايا النيزك
Road Tool,أداة الطريق
Bookshelves,رفوف الكتب
Button,زر
Buttons,أزرار
Carved Pumpkin,يقطينة منحوتة
Door,باب
Doors,أبواب
Ecko Statue,تمثال إيكو
Excavator,الحفار
Lasers,الليزرات
Mills,المصانع
Powered Cart,عربة مدفوعة بالطاقة
Small Wood Cart,عربة خشب صغيرة
Switch,مفتاح التبديل
Tables,طاولات
Transmission Pole,عمود النقل
Wood Cart,عربة خشبية
{0} has returned to the game (Last online {1} ago).,{0} عاد إلى اللعبة (آخر ظهور قبل {1}).
Vitamins,الفيتامينات
Eat Food,تناول الطعام
Mouse-over the food in your toolbar to examine its nutrients.,مرر المؤشر فوق الطعام في شريط الأدوات لفحص قيمته الغذائية.
Eat food containing carbohydrates.,تناول الأطعمة التي تحتوي على الكربوهيدرات.
Eat food containing protein.,تناول الأطعمة التي تحتوي على البروتين.
Eat food containing fat.,تناول الأطعمة التي تحتوي على الدهون.
Eat food containing vitamins.,تناول الأطعمة التي تحتوي على الفيتامينات.
Authorized,مرخصة
{0} has left the game,{0} غادر اللعبة
Controls,ضوابط
Connecting...,جاري الاتصال...
Shift,
Impact in:,تأثير في:
Text,نص
Auth,مصرح
Enter text,أدخل النص
Public,عام
stuff,أشياء
Settings inherited from deed,الإعدادات الموروثة من العقدة
Chop a tree until it falls over.,اقطع شجرة حتى تسقط.
Pick up the pieces with 'E'.,التقط القطع باستخدام 'E'.
Open the Map.,افتح الخريطة.
You can see the marker in the world. Click the arrow to bring up options or remove it.,يمكنك رؤية العلامة في العالم. انقر على السهم لإظهار الخيارات أو إزالتها.
Tools,أدوات
You received,لقد تلقيت
Unauthorized\n,غير مصرح لك\n
Username,اسم المستخدم
Authorized\n,مصرح به\n
password,كلمة المرور
Logging in...,تسجيل الدخول...
calorie consumption,استهلاك السعرات الحرارية
Decreases,يقلل
damage,الضرر
Increases,يزيد
repair cost,تكلفة الإصلاح
harvest yield,العائد الزراعي
{0} Recipe,{0} وصفة
craft time,وقت الصنع
You,أنت
carry weight,حمولة الوزن
calorie cost,تكلفة السعرات الحرارية
how close you can approach animals,مدى اقترابك من الحيوانات
Bucks,باكس
Queued Projects,المشاريع في الانتظار
Currency Exchange is disabled (room requirements not met?),تم تعطيل صرف العملات (لا تتوافق مع متطلبات الغرفة؟)
Selling,بيع
Buying,شراء
Balances,الأرصدة
Click to give player reputation.,انقر لإعطاء سمعة اللاعب.
payment,الدفع
value,القيمة
Variants,المتغيرات
Tier {0},المستوى {0}
{0} output,إخراج {0}
Plots,المؤامرات
Weight: {0}kg,الوزن: {0} كجم
This item can only be carried.,هذا العنصر يمكن حمله فقط.
Crafted At,تم تصنيعه في
Harvested from,محصول من
Buy it at,شراءه عند
Sell it at,بيعه عند
Used in,يستخدم في
Requires {0},يتطلب {0}
Ingredients,المكونات
Products,المنتجات
No benefits from skills,لا يوجد فوائد من المهارات
Ask an Expert To Craft It,اسأل خبيرًا لتصنيعه
{0} Project,{0} المشروع
Status,الحالة
Recipes,الوصفات
Click to send a private message,انقر لإرسال رسالة خاصة
Welcome to Eco!,مرحباً بك في Eco!
Welcome back to Eco!,مرحباً بعودتك في Eco!
World age: {0},عمر العالم: {0}
Click to view in the skill window,انقر لعرضه في نافذة المهارات
Unlocks,الفتحات
Benefits,الفوائد
Top Users,أفضل المستخدمين
Skills,المهارات
Produces,ينتج
and {0:count} more {1:items},والمزيد من {0:count} {1:items}
Eyes,العيون
Torso,الجسم
Hips,الوركين
Limbs,الأطراف
Jaw,الفك
Hide from the animals!,اختبئ من الحيوانات!
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.",سراويل قصيرة (المعروفة أيضًا بالسراويل ثلاثية الأرباع، الكابري، سراويل الدراجة، سراويل البحارة، سراويل الصيد، سراويل الفيضانات، الجامس، سراويل قصيرة، سراويل التوريدور) هي سراويل أطول من الشورت ولكنها ليست بطول السراويل.
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,قبعة سخيفة لا تناسب أي شخص. تشعر بالإحراج عند ارتدائها.
Cool piratey shirt that makes your biceps look bigger than they really are.,قميص قرصاني رائع يجعل عضلات ذراعيك تبدو أكبر مما هي عليه في الواقع.
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.",حذاء عادي، عادي، يومي، تقليدي، عادي، عادي، معتاد، عادي، قدومي، عادي، منتصف الطريق، أحذية منخفضة.
The hair with a completely normal amount of flare.,شعر بمقدار طبيعي تمامًا.
The haircut your mom always made you get before you realized you could make your own decisions.,تسريحة الشعر التي اعتادت والدتك عليك قصها قبل أن تدرك أنه بإمكانك اتخاذ قراراتك الخاصة.
Belt with a square buckle.,حزام بإبزيم مربع.
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.",الأحذية فوق الركبة هي أحذية تصل إلى الركبة أو قربها. عادة ما تكون أكثر ضيقة حول ساق الساق والكاحل من الأعلى.
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).",سروال ضيق وقوي. السراويل هي قطعة من الملابس ترتدي من الخصر إلى الكاحلين، تغطي كل ساق بشكل منفصل (بدلاً من القماش الممتد عبر الساقين كما في الأروب، والتنانير، والفساتين).
Lighter pack that causes lower calorie consumption.,حزمة خفيفة الوزن تسبب انخفاض استهلاك السعرات الحرارية.
Powdered acorn.,بودرة الجوز.
A trussed roast baked to perfection.,لحم محشو محمص إلى الكمال.
A dense whole wheat unleavened bread.,خبز كامل من القمح البازلاء.
A seemingly random assortment of wild plants that form a sort of salad.,مجموعة عشوائية ظاهرة من النباتات البرية التي تشكل نوعًا من السلطة.
Smashed beans can work as a thickener or flavour enhancer.,يمكن أن يعمل الفاصوليا المهروسة كمثخن أو محسن للنكهة.
Just because the name has 'bear' in it doesn't mean it actually contains bear.,"فقط لأن الاسم يحتوي على ""دب"" لا يعني أنه يحتوي فعلا على دب."
A brilliantly colored bulb with an earthy sweetness.,بصلة ملونة بشكل رائع ذات حلاوة أرضية.
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.",السجق المسلوق قد لا يكون جميلاً مثل السجق المشوي، ولكنه لذيذ بالمناسبة.
"A delicious, crispy crust hides the soft interior.",قشرة مقرمشة لذيذة تخفي الداخل الناعم.
A bread with a camas twist for a bit of flavor and fun.,خبز بنكهة التويست المحلاة بالكاماس لمزيد من النكهة والمرح.
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.",انتشار لثمار الكاماس المخبوزة بالتساوي. ناعم في الوسط، ولون ذهبي على الخارج.
Pulverized camas works as an excellent thickener or flavour enhancer.,يعمل الكاماس المطحون كمثخن ممتاز أو محسن للنكهة.
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.",قد تكون اللهب غير المتساوي جيدة للطهي، ولكن اللهب المفتوح يضفي نكهة رائعة.
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.",ناتجٌ فرعي من الطحن، والجرم هو الجزء التناسلي للحبوب الغذائية التي تنبت.
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.",ربما ليست أفضل خضارٍ نيئةً للتحمير، إلا أن هذا الشمندر يبدو قد استمر بصورة جيدة بما فيه الكفاية.
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.",هذه الوجبة الحلوة المليئة بالألياف والمشابهة للبطاطا الحلوة، على الرغم من أنها اسودت قليلاً من حرارة نيران المخيم.
At least it doesn't have any scales any more.,على الأقل لا تحتوي على أي قشور بعد الآن.
For creating fancy foams!,لإنتاج الرغوات الفاخرة!
A warmly colored kernel studded vegetable.,خضار ملون بألوان دافئة.
These deep fried corn treats are both crispy and delicious.,هذه الوجبات الذرة المقلية العميقة لذيذة ومقرمشة.
Dried and ground corn; it's like a courser flour.,الذرة المجففة والمطحونة؛ إنها كطحين خشن.
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.",يمكن استخدام نشا الذرة الحصري الناتج من النواة الداخلية كعامل مثخن للصلصات.
Edible mushrooms that are quite tasty.,الفطر الصالح للأكل واللذيذ جداً.
Just in case you want to eat red things without eating meat.,فقط في حال كنت تريد تناول الأشياء الحمراء دون تناول اللحوم.
Give me all the bacon and eggs you have.,أعطني كل الخبز المحمص والبيض الذي لديك.
A complete meal replacement solution.,حل لتعويض وجبة كاملة.
A tasty treat made from corn tortillas and meat.,وجبة لذيذة مصنوعة من التورتيلا واللحم المفروم.
A prime cut of meat surrounded by pastry.,قطعة رئيسية من اللحم محاطة بعجين.
"A bitter, brightly colored shoot similar to asparagus.",سوبرا شبيه بالهليون البري العديم الطعم.
Without any leavening the flatbread isn't very puffy. But it's still tasty.,دون أي خميرة، الخبز الرقيق ليس منتفخًا جدًا. ولكنه لا يزال لذيذًا.
Everything is better deep fried.,كل شيء يصبح أفضل عندما يُقلى عميقًا.
Secret's in the sauce.,السر في الصلصة.
"While tomatoes are fruits, you don't usually put them in fruit salads.",في حين أن الطماطم تعد من الفواكه، فإنك لا تضعها عادة في سلطة الفواكه.
A bulbous fruit that used to top Saguaro cacti.,ثمرة ضخمة تستخدم لتغطية صنوبر الصحراء.
A concentrated blast of huckleberry goodness.,انفجار مركز لطيف من التوت البري اللذيذ.
A fantastic combination of flaky crust and scrumptious berries.,مزيج رائع من قشرة مقرمشة وتوت لذيذ.
Oil infused with flavor to enhance it.,زيت مشبع بالنكهة لتعزيزها.
Useful for a quick chilling.,مفيد للتبريد السريع.
A small circular biscuit with a sweet huckleberry filling.,بسكويت دائري صغير بحشوة حلوة من التوت البري.
For powdering high-fat liquids.,لتحويل السوائل العالية الدهون إلى بودرة.
"Much like a huckleberry pie, but filled to the brim with succulent meat.",تشبه إلى حد كبير فطيرة التوت البري، ولكن مملوءة باللحم اللذيذ.
A meaty stock made from the flesh of animals.,حساء لحمي مصنوع من لحم الحيوان.
