English,SimplifedChinese
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.",不均匀的火焰对于烹饪来说并不好，但明火能弄出很棒的味道。
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.",研磨的副产品，幼芽是谷物发芽的再生部分。
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.",也许不是烧烤最好的生蔬菜，这甜菜看起来已经很不错了。
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.",一种含纤维和甜的像甘薯的美味，只不过被篝火里烧得有点焦了。
At least it doesn't have any scales any more.,至少它没有太多的鱼鳞了。
For creating fancy foams!,用来制造梦幻般的泡沫！
A warmly colored kernel studded vegetable.,一种暖色且满布颗粒的蔬菜。
These deep fried corn treats are both crispy and delicious.,这些油炸玉米香脆又可口。
Dried and ground corn; it's like a courser flour.,干燥的碎玉米；就像面粉一样。
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.",从籽粒胚乳中获得，玉米淀粉可用作酱汁增稠剂。
Edible mushrooms that are quite tasty.,美味可口的可食用蘑菇。
Just in case you want to eat red things without eating meat.,以防你想吃红色的东西而又不想吃肉。
Give me all the bacon and eggs you have.,把你所有的培根和蛋都给我。
A complete meal replacement solution.,一个完善的膳食替代方案。
A tasty treat made from corn tortillas and meat.,一种由玉米饼和肉烹饪而成的美食。
A prime cut of meat surrounded by pastry.,一块被酥油包裹的顶级切肉。
"A bitter, brightly colored shoot similar to asparagus.",一种像芦笋似的苦涩，色泽鲜亮的芽。
Without any leavening the flatbread isn't very puffy. But it's still tasty.,没有经过任何发酵的方包不怎么蓬松。但还是很美味。
Everything is better deep fried.,任何东西炸熟了都会更好。
Secret's in the sauce.,酱汁里的秘密。
"While tomatoes are fruits, you don't usually put them in fruit salads.",虽然西红柿是水果，但你很少在水果沙拉用上它。
A bulbous fruit that used to top Saguaro cacti.,仙人掌上的球形果实。
A concentrated blast of huckleberry goodness.,一种越橘精华的萃取液。
A fantastic combination of flaky crust and scrumptious berries.,一个薄皮和美味浆果的梦幻组合。
Oil infused with flavor to enhance it.,加点香油风味更佳。
Useful for a quick chilling.,快速冷却很有用。
A small circular biscuit with a sweet huckleberry filling.,一种充满甜越橘的圆形小饼干。
For powdering high-fat liquids.,用来制作高脂液体。
"Much like a huckleberry pie, but filled to the brim with succulent meat.",很像越橘馅饼，但充满了多汁的肉。
A meaty stock made from the flesh of animals.,用动物肉制成的肉汤。
"Milk, although maybe not from an animal.",奶，可能不是动物的。
A plant fat extracted for use in cooking.,一种用于烹饪的植物油脂。
"Carefully butchered meat, ready to cook.",精心切好的肉，可以下锅了。
A succulent fruit coated in a rather terrifying array of spines.,一种肉质多汁的水果，但是表面覆盖了一排排可怕的尖刺。
A perfectly marbled piece of meat.,一份完美的切肉。
A fatty cut of meat that happens to be inexplicably tastier than other cuts.,油腻的一块肉，却莫名其妙比其他的肉好吃。
A fatty cut of raw fish.,生鱼上切下来的脂肪。
Fresh raw meat from the hunt. It should probably be cooked before being consumed.,狩猎获得的新鲜生肉，最好烹饪过后再食用。
A trussed roast tied and ready to be cooked.,用绳捆好等待加工的烤肉。
Ground meat stuffed into an intestine casing.,碎肉填满了肠衣。
Chunks of extra meat.,大块多余的肉。
A cut of perfectly seared steak.,一份完美的烤肉排。
Meat cooked in meat juices keeps the meat juicy.,用肉汁烹调的肉使得口感鲜嫩多汁。
Even sweet lovers don't eat sugar plain.,即使甜蜜的情侣也不吃普通的砂糖。
The sweetness of the fruits happens to work well with the salad.,水果的甜味与沙拉完美搭配。
Rendered animal fat useful for more than just cooking.,使动物脂肪不仅仅用于烹饪。
Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,知道这是水果的叫聪明，不把它放进水果沙拉里叫睿智。
"A thin, unleavened flatbread.",很小且未发酵的方包。
Any enzyme that can be used to bond proteins together.,一些能把蛋白质结合在一起的酶。
An eclectic arrangement of vegetables.,一种蔬菜的折衷选择。
Who knew plants in plant broth could be so tasty?,谁知道菜汤里的菜会这么好吃？
A hearty stock full of assorted vegetables.,包含各种蔬菜的暖心汤。
A common grain that is significantly more useful processed.,一种加工后会变得非常有用的普通谷物。
A thick stew made with a variety of vegetables.,一种用很多蔬菜做成的炖菜。
"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.",虽然枯萎的蕨菜看起来有点忧伤，但至少它们是有营养的。
A fungus that acts as an amazing leavening agent.,一种能作为神奇发酵剂的真菌。
A more advanced version of the normal combustion engine that produces a greater output.,一个能产生更多输出的高级版本内燃机。
Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,用弓来狩猎食物 (或者射你朋友头上的苹果来吓吓他们)。
A paved surface constructed with asphalt and concrete. It's durable and extremely efficient for any wheeled vehicle.,由沥青和混凝土铺成的路面。对任何轮式车辆来说都非常耐用和高效。
A vegetable or animal fat-based diesel fuel.,一种基于植物或动物脂肪的柴油。
A dead bison,一只没有生命迹象的野牛。
Durable building material made from fired blocks and mortar.,用烧过的砖块和砂浆制成的耐用建材。
Created by taking pulped plants and extruding them similarly to synthetic fibers.,将植物浆像生产人造纤维一样压制而成。
"A black residue, consisting of carbon and any remaining ash.",一种黑色的残渣，包含碳和一些残灰。
A complex electrical component used in advanced electronics.,用于高级电子工艺的一种复杂电子组件。
A clam.,一只蚌。
A piece of rough cloth made by weaving fibers together.,一种由纤维编织而成的粗布。
An engine that generates power by combustion of fuel.,一台通过燃烧燃料来发电的发电机。
Unrefined ore with traces of copper.,未经提炼的含铜矿石。
A pipe for transporting liquids.,一种运输液体的管道。
Especially useful for industrial buildings.,对工业建筑特别有用。
"Ecko, the dolphin god of Eco bugs. Handle with care and lightly sprinkle with water every so often to keep moist.",埃克，《生态物语》中的海豚之神。小心轻放并注意经常洒水以保持湿润。
A motor.,一个电动机。
A dead elk.,一只没有生命迹象的麋鹿。
"A useful material for hardening, curing, and other various uses.",可用于硬化、固化等各种用途的一种材料。
Plastic reinforced with glass fiber strands.,用玻璃丝强化过的塑料。
"Coated with a layer of epoxy, this steel refuses to rust.",表面覆盖了一层环氧树脂，这种钢材防止生锈。
A dead fox.,一只没有生命迹象的狐狸。
"A transparent, solid material useful for more than just windows.","一种透明的固体材料, 不仅仅用作窗户。"
"A soft, furry pelt.",一张柔软的毛皮。
Refined petroleum useful for fueling machines and generators.,精炼石油能用作机器和发电机的燃料。
A toothed machine part that interlocks with others.,能够联动其它东西的带锯齿机器部件。
A highly efficient conductor for delicate electronics.,精密电子仪器所需要的高级导体。
Unrefined ore with traces of gold.,未经提炼的含金矿石。
A dead hare.,一只没有生命迹象的野兔。
A log hewn and shaped to be a building material.,原木粗加工制成的建筑材料。
Unrefined ore with traces of iron.,未经提炼的含铁矿石。
Some creepy kelp.,一些古怪的海带。
A thick hide.,厚厚的皮革。
A stack of logs.,一堆原木。
Can be fashioned into various usable equipment.,能加工成各种实用的设备。
Used to create tough but rudimentary buildings.,用于建造简陋但耐用的建筑。
Unstable nuclear fuel.,不稳定的核燃料。
It's paper.,这是纸。
A moving component that transfers force. Can also function as a valve occasionally.,一个传递动力的部件，偶尔也可以作为阀门。
An extremely useful synthetic material derived from petrochemicals,一种非常有用的石油化工合成材料。
A salmon.,一条鲑鱼。
A rotary actuator that allows for control over angular position.,一种可以控制角度位置的转动装置。
A rocky surface formed from smoothed rubble. It's fairly durable and efficient for any wheeled vehicle.,由碎石磨平后铺成的路面。对任何轮式车辆来说都非常耐用和高效。
CHEEEAAAAATER,作弊者
The foundation material for complex electronics.,复杂电子产品的基础材料。
A little bit of light to help beat back the night.,帮助驱赶黑暗的一道微光。
Clear cut debris that needs to be broken down to be more usable.,清理需要分解才能使用的残枝。
A trout.,一条鳟鱼。
A tuna.,一条金枪鱼。
A dead turkey,一只没有生命迹象的火鸡
An urchin.,一个海胆。
"A device that regulates, directs, or controls the flow of fluid.",一个调节，指示，或者控制流体的装置。
A dead wolf.,一只没有生命迹象的狼。
Plant to grow an oak tree.,种植橡树。
Oak,橡树
A good source of protein.,一个很好的蛋白质来源。
Plant to grow beets.,种植甜菜。
Plant to grow into a birch sapling.,种植桦树。
Birch,桦树
Plant to grow bunchgrass.,种植丛生杂草。
Bunchgrass,丛生杂草
Plant to grow a camas plant.,种植卡马斯。
Camas,卡马斯
Plant to grow a cedar sapling.,种植雪松。
Cedar,雪松
Plant to grow corn.,种植玉米。
Plant to grow creosote bushes.,种植灌木。
CreosoteBush,灌木
Plant to grow crimini mushrooms.,种植香啡菇。
CriminiMushroom,香啡菇
Plant to grow ferns.,种植蕨类。
Fern,蕨类
Plant to grow fireweed.,种植柳兰。
Fireweed,柳兰
Plant to grow a fir tree.,种植冷杉树。
Fir,杉树
Plant to grow grass.,种植草。
CommonGrass,一般的草
Plant to grow a huckleberry bush.,种植越橘丛。
Huckleberry,越橘
Plant to grow kelp.,种植海带。
Plant to grow prickly pear cacti.,种植仙人球。
PricklyPear,仙人球
Plant to grow rice.,种植水稻。
How did you even get this?,你怎么得到这个的？
Plant to grow tomato plants.,种植番茄。
Plant to grow waterweed.,种植伊乐藻。
Waterweed,伊乐藻
Plant to grow wheat.,种植小麦。
Large cart for hauling sizable loads.,可以装载大量货物的大型拖车。
Small wheelbarrow for hauling minimal loads.,能装小型货物的小推车。
A solid shaped piece of metal used to hammer ingots into tools and other useful things.,一个用来把铸块锤打成工具和其它有用东西的固体金属。
A solidly built brick oven useful for baking all manner of treats.,一种用于各类烘烤的坚固砖烤炉。
A superior replacement for the bloomery that can produce steel.,一种能生产钢铁的高级锻铁炉。
A chimney-shaped furnace for smelting ores.,烟囱式熔炉。
A place to store knowledge and information; leads to the town hall.,储存知识和信息的地方；就像市政厅。
A metal stand which can hold burning fuel to provide light.,一个可以燃烧燃料发光的金属支架。
A block and cleaver to process raw meat into fancier dishes.,一把将生肉加工成华丽菜式的刀。
Cook like a caveman on an uneven fire.,像山洞里的人一样用火烧饭。
A fancy candelabra for providing small amounts of light.,提供少量光线的奇特烛台。
A table for basic wooden crafts for home improvement and progress.,一张用来制作基础家装木制品的工作台。
The perfect stove for the fledgling chef.,完美厨师专属的完美火炉。
A fancy hanging candelabra.,奇特的悬挂式烛台。
Consumes most fuels to produce energy.,消耗大量燃料来生产能量。
A place where you can sit all day and play video games! Or work on expert-level research.,一个你能坐着玩一天电子游戏的地方！也可以用来做专家级研究。
A board to post contracts.,一块发布合同的公示板。
A sweet couch to lounge on. Now with room for your friends!,一张舒适的沙发。现在你有足够空间给你的朋友了！
Allows players to exchange currency.,允许玩家交换货币。
A statue of a dolphin. What could it mean?,一个海豚雕像。它有什么含义？
A wall mounted lamp that requires electricity to turn on.,需要通电才能打开的墙装灯。
A set of machinery to create electronics.,一套用来制造电子零件的机器。
A complex set of machinery for creating equally complex things.,这台机器可以用来制造和它一样复杂的东西。
A box of ice. It's in the name!,一个放冰的箱子，就像它的名字那样！
Useful for baking bricks and finishing pottery.,用于烧砖和抛光陶器。
A prep area for food which allows for more complex dishes.,一个能制作更多复杂菜式的准备食物的地方。
For researching the science side of cooking. Science rules!,为了研究科学的烹饪。科学规范！
AVOID DIRECT EYE EXPOSURE,避免直接接触眼睛
A wooden potty.,一个木制便盆。
A fancy tool bench that creates equally fancy toys.,一个神奇工具台，可制作出同样脑洞大开的趣味玩具。
A workstation for hewing and shaping stone into usable objects.,一个将石头切割成有用东西的工作站。
Refines food resources by crushing them under a stone millstone.,在石磨下提炼食物资源。
Allows for the creation of currency.,允许创建货币。
Sets of pipes and tanks which refine crude petroleum into usable products.,将原油提炼加工成可用成品的设备。
A comfy chair to rest in.,一把用来休息的舒适椅子。
Sometimes you just want to bring a little bit of nature into your house.,有时候你会想把一点自然带到你的房子里。
"Drill, baby! Drill!",钻啊！钻！
An icebox from the future with significantly better cooling properties.,一个拥有更好冷冻效果的现代化冷藏箱。
A basic table for researching new technologies and skills.,一张用来研究新科技和技能的基础工作台。
For rolling steel into more buildable materials.,把钢材压制成更好的建筑材料。
A large area rug to cover that weird stain.,一张用来遮住脏东西的大地毯。
A medium rug for medium uses.,一般用途的中地毯。
A small rug for when you just didn't have enough materials to make a bigger one.,当你不够材料做大的时，就做这个小地毯吧。
