English,Dutch
Pick up the pieces with 'E'.,Raap de stukken op met 'E'.
Open the Map.,Open de Kaart.
You can see the marker in the world. Click the arrow to bring up options or remove it.,Je kan de markering in de wereld zien. Klik op de pijl om de opties te zien of hem te verwijderen.
Tools,Gereedschappen
You received,Je kreeg
Unauthorized\n,Niet-geautoriseerd\n
Username,Gebruikersnaam
Authorized\n,Geautoriseerd\n
password,wachtwoord
Logging in...,Inloggen...
calorie consumption,calorieverbruik
Decreases,Vermindert
damage,schade
Increases,Verhoogt
repair cost,reparatie kosten
harvest yield,opbrengst van de oogst
{0} Recipe,{0} Recept
craft time,vervaardigtijd
You,already
carry weight,draaggewicht
calorie cost,caloriekosten
how close you can approach animals,hoe dicht je dieren kunt benaderen
Bucks,Geld
Queued Projects,Projecten in wachtrij
Currency Exchange is disabled (room requirements not met?),Valutawissel is uitgeschakeld (niet voldaan aan kamervereisten?)
Selling,Verkopen
Buying,Kopen
Balances,Balans
Click to give player reputation.,Klik om speler reputatie te geven.
payment,betaling
value,waarde
Variants,Varianten
Tier {0},Graad {0}
{0} output,{0} uitvoer
Plots,Percelen
Weight: {0}kg,Gewicht: {0}kg
This item can only be carried.,Dit item kan alleen worden gedragen.
Crafted At,Gemaakt bij
Harvested from,Geoogst van
Buy it at,Koop het bij
Sell it at,Verkoop het bij
Used in,Gebruikt in
Requires {0},Vereist {0}
Ingredients,Ingredienten
Products,Producten
No benefits from skills,Geen voordelen van vaardigheden
Ask an Expert To Craft It,Vraag een Expert om dit te vervaardigen
{0} Project,{0} Project
Status,Status
Recipes,Recepten
Click to send a private message,Klik om een privébericht versturen
Welcome to Eco!,Welkom bij Eco!
Welcome back to Eco!,Welkom terug bij Eco!
World age: {0},Wereld leeftijd: {0}
Click to view in the skill window,Klik om je skilla te zien
Unlocks,Ontgrendelt
Benefits,Voordelen
Top Users,Top gebruikers
Skills,Vaardigheden
Produces,Produceert
and {0:count} more {1:items},en {0:count} meer {1:items}
Eyes,Ogen
Torso,Romp
Hips,Heupen
Limbs,Ledematen
Jaw,Kaak
Hide from the animals!,Verstop je voor de dieren!
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.","Capribroeken (ook bekend als driekwartbroeken, capri's, cropbroeken, pedaalduwers, mossel-gravers, overstromingsbroeken, jams, hoogwaters, culottes of stierenvechterbroeken) zijn broeken die langer zijn dan shorts, maar niet zo lang als broeken."
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,Sukkelige sombrero die niemand past. Je schaamt je om het te dragen.
Cool piratey shirt that makes your biceps look bigger than they really are.,Cool piratenhemd dat je biceps groter doet lijken dan ze in werkelijkheid zijn.
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.","Basis, gewone, elke dag, doorsnee, onopvallend, conventioneel, alledaags, standaard, middelhoge, doorsnee lage schoenen."
The hair with a completely normal amount of flare.,Het haar met een volledig normale hoeveelheid gloed.
The haircut your mom always made you get before you realized you could make your own decisions.,Het kapsel dat je moeder je altijd heeft gegeven voordat je je realiseerde dat je je eigen beslissingen kon nemen.
Belt with a square buckle.,Riem met vierkante gesp.
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.","Kniehoge laarzen zijn laarzen die tot aan de knie reiken, of iets daaronder. Ze zijn over het algemeen strakker rond de beenschacht en enkel dan aan de bovenkant."
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).","Stevige slim-fit broek. Broeken zijn kledingstukken die vanaf de taille tot aan de enkels worden gedragen en beide benen afzonderlijk bedekken (in plaats van een doek dat zich over beide benen uitstrekt zoals in gewaden, rokken en jurken)."
Lighter pack that causes lower calorie consumption.,Lichter pakket dat lager calorieverbruik veroorzaakt.
Powdered acorn.,Eikelpoeder.
A trussed roast baked to perfection.,Een gebraden braadstuk gebakken tot perfectie.
A dense whole wheat unleavened bread.,Een dik volkoren ongezuurd brood.
A seemingly random assortment of wild plants that form a sort of salad.,Een schijnbaar willekeurig assortiment wilde planten die een soort salade vormen.
Smashed beans can work as a thickener or flavour enhancer.,Geplette bonen kunnen werken als verdikkingsmiddel of smaakversterker.
Just because the name has 'bear' in it doesn't mean it actually contains bear.,"Het feit dat de naam 'beer' bevat, betekent niet dat het eigenlijk beer bevat."
A brilliantly colored bulb with an earthy sweetness.,Een briljant gekleurde bol met een aardse zoetheid.
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.","Gekookte worstjes zijn dan niet zo mooi als gegrilde, maar ze smaken nog steeds goed."
"A delicious, crispy crust hides the soft interior.","Een heerlijke, knapperige korst verbergt de zachte binnenkant."
A bread with a camas twist for a bit of flavor and fun. ,"Een brood met een hint van Camassia, voor een beetje extra smaak en plezier. "
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.","Een bord met gelijk gebakken camassia knollen, zacht vanbinnen, goudbruin aan de buitenkant."
Pulverized camas works as an excellent thickener or flavour enhancer.,Verpulverde camassia doet dienst als een heel goed bindmiddel of smaakversterker.
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.","De oneven vlam is misschien middelmatig om mee te koken, maar de open vlam geeft het een goede smaak."
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.","Een nevenproduct van het vermalen, deze spruit is het voortplantingsdeel van van een uitgesproten graan."
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.","Misschien niet de beste rauwe groente om te roosteren, maar deze biet staat zijn mannetje."
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.","Een vezelrijke en zoete traktatie zoals een zoete aardappel, maar lichtjes geroosterd over de hitte van een kampvuur."
At least it doesn't have any scales any more.,Het heeft tenminste geen schalen meer.
For creating fancy foams!,Voor het maken van luxe schuimen!
A warmly colored kernel studded vegetable.,Een warm gekleurde korrel bezaaide groente.
These deep fried corn treats are both crispy and delicious.,Deze gefrituurde mais lekkernijen zijn beide krokant en heerlijk.
Dried and ground corn; it's like a courser flour.,Gedroogde en gemalen graan; het is als een natuurlijk meel.
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.","Verkregen van het endosperm van de korrel, zetmeel kan gebruikt worden om saus in te dikken."
Edible mushrooms that are quite tasty.,Eetbare paddenstoelen die best lekker zijn.
Just in case you want to eat red things without eating meat.,Voor het geval je rode dingen wilt eten zonder vlees te eten.
Give me all the bacon and eggs you have.,Geef me alle spek en eieren die je hebt.
A complete meal replacement solution.,Een complete maaltijdvervangende oplossing.
A tasty treat made from corn tortillas and meat.,Een smakelijke traktatie gemaakt van maistortilla's en vlees.
A prime cut of meat surrounded by pastry.,De filet van het vlees omgeven door pastei.
"A bitter, brightly colored shoot similar to asparagus.","Een bittere, fel gekleurde scheut te vergelijken met asperges."
Without any leavening the flatbread isn't very puffy. But it's still tasty.,Zonder zuurdesem is het plat brood niet erg gezwollen. Maar het is nog steeds smakelijk.
Everything is better deep fried.,Alles is beter gefrituurd.
Secret's in the sauce.,Het geheim zit in de saus.
"While tomatoes are fruits, you don't usually put them in fruit salads.","Hoewel tomaten fruit zijn, doe je ze meestal niet in fruitsalades."
A bulbous fruit that used to top Saguaro cacti.,Een bolvormige vrucht die bovenop de Saguaro cactus stond.
A concentrated blast of huckleberry goodness.,Een geconcentreerde smaakexplosie van bosbessen smakelijkheid.
A fantastic combination of flaky crust and scrumptious berries.,Een fantastische combinatie van schilferige korst en heerlijke bessen.
Oil infused with flavor to enhance it.,Olie doordrongen met smaak om het te verbeteren.
Useful for a quick chilling.,Handig voor een snelle koeling.
A small circular biscuit with a sweet huckleberry filling.,Een klein rond koekje met een zoete bosbessen vulling.
For powdering high-fat liquids.,Om hoog vette vloeistoffen mee te verpoederen.
"Much like a huckleberry pie, but filled to the brim with succulent meat.","Net als een bosbessen taart, maar gevuld tot de rand met sappig vlees."
A meaty stock made from the flesh of animals.,Een vlezige bouillon gemaakt van dierlijk vlees.
"Milk, although maybe not from an animal.","Melk, hoewel misschien niet van een dier."
A plant fat extracted for use in cooking.,Een plantaardig vet gewonnen voor gebruik bij het koken.
"Carefully butchered meat, ready to cook.","Zorgvuldig afgeslacht vlees, klaar om te koken."
A succulent fruit coated in a rather terrifying array of spines.,Een sappig fruit bedekt met een nogal angstaanjagende reeks stekels.
A perfectly marbled piece of meat.,Een perfect gemarmerd stuk vlees.
A fatty cut of meat that happens to be inexplicably tastier than other cuts.,Een vet stuk vlees dat onuitlegbaar veel lekkerder is dan andere stukken.
A fatty cut of raw fish.,Een vet stuk rauwe vis.
Fresh raw meat from the hunt. It should probably be cooked before being consumed.,Vers stuk vlees van de jacht. Het zou waarschijnlijk eerst gebakken moeten worden voor het gegeten wordt.
A trussed roast tied and ready to be cooked.,Een gebundeld gebraad klaar om gebakken te worden.
Ground meat stuffed into an intestine casing.,Gemalen vlees in een darm als omhulsel gestoken.
Chunks of extra meat.,Stukken extra vlees.
A cut of perfectly seared steak.,Een perfect gebraden stuk biefstuk.
Meat cooked in meat juices keeps the meat juicy.,Vlees gebakken in dierlijk vocht houdt het vlees sappig.
Even sweet lovers don't eat sugar plain.,Zelf zoetekauwen eten niet gewoon suiker.
The sweetness of the fruits happens to work well with the salad.,De zoetheid van het fruit werkt goed samen met de salade.
Rendered animal fat useful for more than just cooking.,Verwerkt dierlijk vet bruikbaar voor meer dan koken alleen.
Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,Intelligentie is weten dat dit fruit is; wijsheid is het niet in een fruitsalade te gebruiken.
"A thin, unleavened flatbread.",Een ongezuurd plat brood.
Any enzyme that can be used to bond proteins together.,Een enzym die kan gebruikt worden om proteïnen te verbinden.
An eclectic arrangement of vegetables.,Een eclectisch arrangement aan groenten.
Who knew plants in plant broth could be so tasty?,Wie wist dat planten in een planten bouillon zo lekker konden zijn?
A hearty stock full of assorted vegetables.,Een hartige bouillon vol met verschillende groenten.
A common grain that is significantly more useful processed.,Een gewoon graan dat een stuk nuttiger is wanneer het verwerkt is.
A thick stew made with a variety of vegetables.,Een dik stoofpotje gemaakt met een variëteit aan groenten.
"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.","Terwijl een stel verwelkte vioolkoppen er maar triest uitzien, zijn ze wel voedzaam."
A fungus that acts as an amazing leavening agent.,Een schimmel die dienst doet als rijzend middel.
A more advanced version of the normal combustion engine that produces a greater output.,Een meer geavanceerde versie van de verbrandingsmotor die een groter vermogen opbrengt.
Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,Gebruik met de boog om te jagen voor eten (of verbaas je vrienden door appels van hun hoofd te schieten).
A paved surface constructed with asphalt and concrete. It's durable and extremely efficient for any wheeled vehicle.,Een geplaveide oppervlakte gemaakt met asfalt en beton. Het is duurzaam en extreem efficiënt voor elk voertuig met wielen.
A vegetable or animal fat-based diesel fuel.,Een groente of dierlijk vet-gebaseerde diesel brandstof.
A dead bison,Een dode bizon
Durable building material made from fired blocks and mortar.,Duurzaam bouwmateriaal gemaakt van bakstenen en mortel.
Created by taking pulped plants and extruding them similarly to synthetic fibers.,Gemaakt van verpulpte planten en door hen gelijkaardig te verwerken als synthetische vezels.
"A black residue, consisting of carbon and any remaining ash.","Een zwarte stof, bestaand uit koolstof en verblijvend as."
A complex electrical component used in advanced electronics.,Een complex elektrisch onderdeel gebruikt in geavanceerde electronica.
A clam.,Een mossel.
A piece of rough cloth made by weaving fibers together.,Een stuk ruwe stof gemaakt door vezels aan elkaar te weven.
An engine that generates power by combustion of fuel.,Een motor die kracht voortbrengt door brandstof te verbranden.
Unrefined ore with traces of copper.,Een onverwerkte grondstof met deeltjes koper.
A pipe for transporting liquids.,Een pijp om vloeistoffen te vervoeren.
Especially useful for industrial buildings.,Voornamelijk bruikbaar voor industriële gebouwen.
"Ecko, the dolphin god of Eco bugs. Handle with care and lightly sprinkle with water every so often to keep moist.","Ecko, de dolfijngod van Eco insecten. Behandel met zorg en besprenkel geregeld licht met water om vochtig te houden."
A motor.,Een motor.
A dead elk.,Een dode eland.
"A useful material for hardening, curing, and other various uses.","Een nuttig materiaal voor verharding, genezen, en andere verschillende redenen."
Plastic reinforced with glass fiber strands.,Plastic versterkt met glasvezel strengen.
"Coated with a layer of epoxy, this steel refuses to rust.","Coated with a layer of epoxy, this steel refuses to rust."
A dead fox.,Een dode vos.
"A transparent, solid material useful for more than just windows.","Een transparant, solide materiaal dat bruikbaar wordt voor meer dan alleen ramen."
"A soft, furry pelt.","Een zachte, harige vacht."
Refined petroleum useful for fueling machines and generators.,Geraffineerde aardolie die nuttig is voor machines en generatoren.
A toothed machine part that interlocks with others.,A toothed machine part that interlocks with others.
A highly efficient conductor for delicate electronics.,Een zeer efficiënte geleider voor delicate elektronica.
Unrefined ore with traces of gold.,Ongeraffineerd erts met sporen van goud.
A dead hare.,Een dode haas.
A log hewn and shaped to be a building material.,A log hewn and shaped to be a building material.
Unrefined ore with traces of iron.,Ongeraffineerd erts met sporen van ijzer.
Some creepy kelp.,Wat akelig zeewier.
A thick hide.,Een dikke huid.
A stack of logs.,Een stapel logboeken.
Can be fashioned into various usable equipment.,Kan worden omgevormd tot verschillende bruikbare apparatuur.
Used to create tough but rudimentary buildings.,Used to create tough but rudimentary buildings.
Unstable nuclear fuel.,Onstabiele nucleaire brandstof.
It's paper.,Het is papier.
A moving component that transfers force. Can also function as a valve occasionally.,Een bewegend onderdeel dat kracht overbrengt. Kan ook af en toe als ventiel fungeren.
An extremely useful synthetic material derived from petrochemicals,Een uiterst nuttig synthetisch materiaal afkomstig van petrochemicaliën
A salmon.,Een zalm.
A rotary actuator that allows for control over angular position.,A rotary actuator that allows for control over angular position.
A rocky surface formed from smoothed rubble. It's fairly durable and efficient for any wheeled vehicle.,A rocky surface formed from smoothed rubble. It's fairly durable and efficient for any wheeled vehicle.
CHEEEAAAAATER,CHEEEAAAAATER
The foundation material for complex electronics.,Het basismateriaal voor complexe elektronica.
A little bit of light to help beat back the night.,Een beetje licht om de nacht te verslaan.
Clear cut debris that needs to be broken down to be more usable.,Helder gekapt puin dat moet worden afgebroken om beter bruikbaar te zijn.
A trout.,Een forel.
A tuna.,Een tonijn.
A dead turkey,Een dode kalkoen
An urchin.,Een egel.
"A device that regulates, directs, or controls the flow of fluid.","A device that regulates, directs, or controls the flow of fluid."
A dead wolf.,Een dode wolf.
Plant to grow an oak tree.,Plant om een eik te laten groeien.
Oak,Eik
A good source of protein.,Een goede bron van eiwitten.
Plant to grow beets.,Plant om bieten te laten groeien.
Plant to grow into a birch sapling.,Plant om uit te groeien tot een berkenboompje.
Birch,Berk
