"STRINGID","Context","English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"DEFAULT","","Unable to allocate funds for performing this action: {0}","","Impossible d’allouer des fonds pour exécuter cette action : {0}","No se pueden asignar fondos para llevar a cabo esta acción: {0}","Es ist nicht möglich, das benötigte Geld für diese Aktion bereitzustellen: {0}","이 행동 때문에 자금을 할당할 수 없습니다: {0}","Não foi possível alocar fundos para executar esta ação: {0}","执行该动作时无法分配资金：{0}","Невозможно выделить денежные средства на выполнение этого действия: {0}","Impossibile allocare fondi eseguendo quest'azione: {0}","Unable to allocate funds for performing this action: {0}","Unable to allocate funds for performing this action: {0}","この行動に対して支援を受けられません: {0}","Ute av stand til å allokere midler for utførelsen av handlingen: {0}","Nie można znaleźć funduszy na wykonanie: {0}","Kan de bedragen niet toewijzen voor het uitvoeren van deze actie: {0}","Imposibil de alocat fonduri pentru realizarea acestei acțiuni: {0}","Ude af stand til at allokere midler for udførelse af denne handling: {0}","Nebylo možno uvolnit finance na provedení této akce {0}","Unable to allocate funds for performing this action: {0}","Не вдалося виділити кошти для виконання цієї дії: {0}","Η ανακατανομή πόρων είναι αδύνατη για την εκτέλεση αυτής της ενέργειας: {0}","Unable to allocate funds for performing this action: {0}","Unable to allocate funds for performing this action: {0}","Şu eylem için gerekli maddiyat tahsis edilemedi: {0}"
"DEFAULT","","Action not allowed.","","Action non autorisée.","Acción no permitida.","Aktion nicht zulässig.","해당 동작은 허용되지 않은 동작입니다.","Ação não permitida.","行动不允许。","Действие не разрешено.","Azione non consentita.","Ação não permitida.","Ez a művelet nem engedélyezett.","その動作は許可されていません","Handling ikke tillat.","Czynność niedozwolona.","Deze actie is niet toegestaan.","Acțiunea nu este permisă.","Handling ikke tilladt.","Akce není povolena.","Åtgärden inte tillåten.","Дію не дозволено.","Η ενέργεια δεν επιτρέπεται.","Action not allowed.","Action not allowed.","Eyleme izin verilmiyor."
"DEFAULT","","Can't place there, blocked.","","Impossible de placer ici, bloqué.","No se puede colocar allí, está bloqueado.","Dies kann hier nicht platziert werden.","해당 지역은 막혀있기에, 배치가 불가능합니다.","Não é possível colocar, está bloqueado.","无法放置在此，被阻挡了。","Невозможно разместить здесь, заблокировано.","Impossibile posizionare lì, bloccato.","Can't place there, blocked.","Nem lehet elhelyezni, akadályozva van.","設置できません，ブロックされてます","Kan ikke plassere her, blokkert.","Nie możesz tego tu umieścić, miejsce zablokowane.","Plaatsen niet mogelijk, geblokkeerd.","Nu se poate plasa acolo, blocat.","Kan ikke placere der, blokeret.","Nelze položit zde, blokováno.","Kan inte placera där, blockerad.","Тут розмістити неможливо, заблоковано.","Μπλοκαρισμένο, δεν μπορείς να τοποθετήσεις εκεί.","Can't place there, blocked.","Can't place there, blocked.","Oraya yerleştirilemez, engel var."
"DEFAULT","","You are not authorized to build here.","","Vous n’êtes pas autorisé à construire ici.","Usted no está autorizado a construir aquí.","Du bist nicht berechtigt, hier zu bauen.","당신은 여기에서 건설할 권한이 없습니다.","Você não está autorizado a construir aqui.","你无权在此建造。","Вам не разрешено строить здесь.","Non sei autorizzato a costruire qui.","You are not authorized to build here.","Nem vagy jogosult, ide építkezz.","あなたはここに建築する権限がありません。","Du er ikke autorisert til å bygge her.","Nie jesteś upoważniony do budowania tutaj.","Het is je niet toegestaan hier te bouwen.","Nu sunteți autorizat să construiți aici.","Du er ikke berettiget til at bygge her.","Nejsi oprávněn zde stavět.","Du har inte tillåtelse att bygga här.","Ви не маєте дозволу будувати тут.","Δεν έχεις τη δικαιοδοσία να χτίσεις εδώ.","You are not authorized to build here.","You are not authorized to build here.","Burada bina dikmek için yetkiye sahip değilsin."
"DEFAULT","","This plant is dead.","","Cette plante est morte.","Esta planta está muerta.","Diese Pflanze ist tot.","이 식물은 죽었습니다.","Esta planta está morta.","该植物已凋谢。","Растение мертво.","Questa pianta è morta.","This plant is dead.","Ez a növény halott.","この植物は枯れてます．","Denne planten er død.","Ta roślina jest uschnięta.","Deze plant is dood.","Această plantă este moartă.","Denne plante er død.","Tato rostlina je mrtvá.","Den här växten är död.","Ця рослина мертва.","Αυτό το φυτό είναι νεκρό.","هذه النبتة ميتة.","This plant is dead.","Bu bitki kurumuş."
"DEFAULT","","District: {0}","","Quartier : {0}","Distrito: {0}","Bezirk: {0}","구역: {0}","Distrito: {0}","区域：{0}","Район: {0}","Distretto: {0}","District: {0}","Kerület: {0}","{0}: 地区","Distrikt: {0}","Dzielnica: {0}","Gebied: {0}","District: {0}","Distrikt: {0}","Okres: {0}","Distrikt: {0}","Район: {0}","Περιφέρεια: {0}","District: {0}","District: {0}","Bucak: {0}"
"DEFAULT","","Atmosphere:({0})","","Atmosphère : ({0})","Atmósfera:({0})","Atmosphäre: ({0})","대기:({0})","Atmosfera:({0})","大气：({0})","Атмосфера:({0})","Atmosfera:({0})","Atmosphere:({0})","Légkör:({0})","環境: ({0})","Atmosfære: ({0})","Atmosfera: ({0})","Atmosfeer:({0})","Atmosfera: ({0})","Atmosfære:({0})","Atmosféra:({0})","Atmosfär:({0})","Атмосфера:({0})","Ατμόσφαιρα:({0})","Atmosphere:({0})","Atmosphere:({0})","Atmosfer: ({0})"
"DEFAULT","","Balanced Multiplier: {0}","","Multiplicateur d'équilibre : {0}","Multiplicador equilibrado: {0}","Ausgewogenheitsmultiplikator:{0}","균등 배수: {0}","Multiplicador Balanceado: {0}","平衡系数：{0}","Множитель баланса: {0}","Moltiplicatore Bilanciato: {0}","Balanced Multiplier: {0}","Kiegyensúlyozott szorzó: {0}","バランス係数: {0}","Balansert Multiplikator: {0}","Zrównoważony mnożnik:{0}","Gebalanceerde vermenigvuldiger: {0}","Multiplicator echilibrat: {0}","Balanceret Multiplikator:{0}","Vyvážený násobitel: {0}","Balanserad Multiplikator:{0}","Збалансований множник: {0}","Ισορροπημένος Πολλαπλασιαστής: {0}","Balanced Multiplier: {0}","Balanced Multiplier: {0}","Denge Çarpanı: {0}"
"DEFAULT","","Base Gain: {0}","","Gain de base : {0}","Ganancia base: {0}","Basisfaktor:{0}","기본 흭득율:{0}","Ganho base: {0}","基本获取速度：{0}","Базовый прирост: {0}","Guadagno Base: {0}","Base Gain: {0}","Alap nyereség: {0}","基本獲得量: {0}","Basis Gevinst: {0}","Podstawa przyrostu:{0}","Basis verdiensten: {0}","Câștig de bază: {0}","Base Gain:{0}","Základní zisk: {0}","Baskorn: {0}","Базовий приріст: {0}","Βάση Κέρδους: {0}","Base Gain: {0}","Base Gain: {0}","Temel Kazanç: {0}"
"DEFAULT","","Calories","","Calories","Calorías","Kalorien","칼로리","Calorias","卡路里","Калории","Calorie","Calorias","Kalóriák","カロリー","Kalorier","Kalorii","Caloriën","Calorii","Kalorier","Kalorie","Kalorier","Калорії","Θερμίδες","Calories","Calories","Kalori"
"DEFAULT","","Waste","","Déchet","Residuo","Abfall","폐기물","Lixo","废弃物","Отходы","Rifiuto","Lixo","Hulladék","廃棄物","Avfall","Odpady","Vuilnis","Deşeuri","Afføring","Odpad","Avfall","Відходи","Απόβλητα","Waste","Waste","Atık"
"DEFAULT","","Nutrition","","Nutrition","Nutrición","Ernährung","영양","Nutrição","营养","Питание","Nutrizione","Nutrição","Táplálék","栄養","Ernæring","Odżywianie","Voedingswaarde","Nutriție","Ernæring","Výživa","Näring","Харчування","Θρέψη","Nutrition","Nutrition","Gıda"
"DEFAULT","","Stomach Contents","","Contenu de l'estomac","Contenido del Estómago","Mageninhalt","위 내용물","Conteúdo do estômago","胃里的东西","Содержимое желудка","Contenuto Stomaco","Stomach Contents","Gyomor tartalom","今までの食事","Mageinnhold","Zawartość żołądka","Maaginhoud","Conținutul stomacului","Mavesækkens indhold","Obsah žaludku","Maginnehåll","Вміст шлунка","Περιεχόμενα Στομαχιού","محتويات المَعِدة","Stomach Contents","Mide İçeriği"
"DEFAULT","","full","","plein","lleno","voll","가득참","cheio","饱饱的","полный","pieno","cheio","tele","フル","full","pełny","vol","plin","fuld","plný","fylld","повний","πλήρες","full","full","dolu"
"DEFAULT","","You are not logged in","","Vous n'êtes pas connecté(e)","Usted no está conectado","Du bist nicht angemeldet","로그인되어 있지 않습니다.","Você não está logado","你未登录","Вы не авторизованы в игре","Non sei connesso","You are not logged in","Nem vagy bejelentkezve","あなたはログインしていません","Du er ikke pålogget","Nie jesteś zalogowany","Je bent niet ingelogd","Nu ești autentificat","Du er ikke logget ind","Nejsi přihlášen","Du är inte inloggad","Ви не ввійшли","Δεν είσαι συνδεδεμένος σε","لم تقم بتسجيل الدخول","You are not logged in","Giriş yapmadın"
"DEFAULT","","You are not a user on this server","","Vous n'êtes pas un joueur sur ce serveur","No eres un usuario de este servidor","Du bist kein Spieler dieses Servers","당신은 해당 서버의 이용자가 아닙니다.","Você não é um usuário neste servidor","你不是该服务器上的用户","Вы не являетесь пользователем на этом сервере","Non sei un utente su questo server","You are not a user on this server","Nem vagy felhasználó ezen a szerveren","あなたはこのサーバーのユーザーではありません","Du er ikke en bruker på denne serveren","Nie jesteś użytkownikiem na tym serwerze","Je bent geen gebruiker op deze server","Nu ești un utilizator pe acest server","Du er ikke en bruger på denne server","Nejsi uživatelem tohoto serveru","Du är inte en användare på den här servern","Ви не є користувачем цього сервера","Δεν είσαι ένας χρήστης σε αυτόν τον server","أنت لست مستخدماً في هذا الخادم","You are not a user on this server","Bu sunucuda bulunan bir kullanıcı değilsin"
